id,fecha,año,circunscripción,comuna,id_región,región,provincia,id_provincia,sexo_mesa,candidato_nombre,candidato_sexo,válidos,partido,periodo,resultado
1,17/01/2010,2010,CAMIÑA,CAMIÑA,1,DE TARAPACA,IQUIQUE,3,HOMBRE,EDUARDO FREI,HOMBRE,141,DEMOCRATA CRISTIANO,2010 - 2014,NO ELECTO
2,17/01/2010,2010,CAMIÑA,CAMIÑA,1,DE TARAPACA,IQUIQUE,3,MUJER,EDUARDO FREI,HOMBRE,133,DEMOCRATA CRISTIANO,2010 - 2014,NO ELECTO
3,17/01/2010,2010,CAMIÑA,CAMIÑA,1,DE TARAPACA,IQUIQUE,3,HOMBRE,SEBASTIAN PIÑERA,HOMBRE,485,RENOVACION NACIONAL,2010 - 2014,ELECTO
4,17/01/2010,2010,CAMIÑA,CAMIÑA,1,DE TARAPACA,IQUIQUE,3,MUJER,SEBASTIAN PIÑERA,HOMBRE,510,RENOVACION NACIONAL,2010 - 2014,ELECTO
5,17/01/2010,2010,CAMIÑA,CAMIÑA,1,DE TARAPACA,IQUIQUE,3,HOMBRE,VOTOS EN BLANCO ,,3,,2010 - 2014,
6,17/01/2010,2010,CAMIÑA,CAMIÑA,1,DE TARAPACA,IQUIQUE,3,MUJER,VOTOS EN BLANCO ,,2,,2010 - 2014,
7,17/01/2010,2010,CAMIÑA,CAMIÑA,1,DE TARAPACA,IQUIQUE,3,HOMBRE,VOTOS NULOS ,,17,,2010 - 2014,
8,17/01/2010,2010,CAMIÑA,CAMIÑA,1,DE TARAPACA,IQUIQUE,3,MUJER,VOTOS NULOS ,,8,,2010 - 2014,
9,17/01/2010,2010,COLCHANE,COLCHANE,1,DE TARAPACA,IQUIQUE,3,HOMBRE,EDUARDO FREI,HOMBRE,51,DEMOCRATA CRISTIANO,2010 - 2014,NO ELECTO
10,17/01/2010,2010,COLCHANE,COLCHANE,1,DE TARAPACA,IQUIQUE,3,MUJER,EDUARDO FREI,HOMBRE,40,DEMOCRATA CRISTIANO,2010 - 2014,NO ELECTO
11,17/01/2010,2010,COLCHANE,COLCHANE,1,DE TARAPACA,IQUIQUE,3,HOMBRE,SEBASTIAN PIÑERA,HOMBRE,324,RENOVACION NACIONAL,2010 - 2014,ELECTO
12,17/01/2010,2010,COLCHANE,COLCHANE,1,DE TARAPACA,IQUIQUE,3,MUJER,SEBASTIAN PIÑERA,HOMBRE,275,RENOVACION NACIONAL,2010 - 2014,ELECTO
13,17/01/2010,2010,COLCHANE,COLCHANE,1,DE TARAPACA,IQUIQUE,3,HOMBRE,VOTOS EN BLANCO ,,1,,2010 - 2014,
14,17/01/2010,2010,COLCHANE,COLCHANE,1,DE TARAPACA,IQUIQUE,3,MUJER,VOTOS EN BLANCO ,,1,,2010 - 2014,
15,17/01/2010,2010,COLCHANE,COLCHANE,1,DE TARAPACA,IQUIQUE,3,HOMBRE,VOTOS NULOS ,,5,,2010 - 2014,
16,17/01/2010,2010,COLCHANE,COLCHANE,1,DE TARAPACA,IQUIQUE,3,MUJER,VOTOS NULOS ,,7,,2010 - 2014,
17,17/01/2010,2010,CHIAPA,HUARA,1,DE TARAPACA,IQUIQUE,3,HOMBRE,EDUARDO FREI,HOMBRE,8,DEMOCRATA CRISTIANO,2010 - 2014,NO ELECTO
18,17/01/2010,2010,CHIAPA,HUARA,1,DE TARAPACA,IQUIQUE,3,MUJER,EDUARDO FREI,HOMBRE,4,DEMOCRATA CRISTIANO,2010 - 2014,NO ELECTO
19,17/01/2010,2010,HUARA,HUARA,1,DE TARAPACA,IQUIQUE,3,HOMBRE,EDUARDO FREI,HOMBRE,460,DEMOCRATA CRISTIANO,2010 - 2014,NO ELECTO
20,17/01/2010,2010,HUARA,HUARA,1,DE TARAPACA,IQUIQUE,3,MUJER,EDUARDO FREI,HOMBRE,367,DEMOCRATA CRISTIANO,2010 - 2014,NO ELECTO
21,17/01/2010,2010,CHIAPA,HUARA,1,DE TARAPACA,IQUIQUE,3,HOMBRE,SEBASTIAN PIÑERA,HOMBRE,17,RENOVACION NACIONAL,2010 - 2014,ELECTO
22,17/01/2010,2010,CHIAPA,HUARA,1,DE TARAPACA,IQUIQUE,3,MUJER,SEBASTIAN PIÑERA,HOMBRE,14,RENOVACION NACIONAL,2010 - 2014,ELECTO
23,17/01/2010,2010,HUARA,HUARA,1,DE TARAPACA,IQUIQUE,3,HOMBRE,SEBASTIAN PIÑERA,HOMBRE,696,RENOVACION NACIONAL,2010 - 2014,ELECTO
24,17/01/2010,2010,HUARA,HUARA,1,DE TARAPACA,IQUIQUE,3,MUJER,SEBASTIAN PIÑERA,HOMBRE,638,RENOVACION NACIONAL,2010 - 2014,ELECTO
25,17/01/2010,2010,CHIAPA,HUARA,1,DE TARAPACA,IQUIQUE,3,HOMBRE,VOTOS EN BLANCO ,,0,,2010 - 2014,
26,17/01/2010,2010,CHIAPA,HUARA,1,DE TARAPACA,IQUIQUE,3,MUJER,VOTOS EN BLANCO ,,0,,2010 - 2014,
27,17/01/2010,2010,HUARA,HUARA,1,DE TARAPACA,IQUIQUE,3,HOMBRE,VOTOS EN BLANCO ,,10,,2010 - 2014,
28,17/01/2010,2010,HUARA,HUARA,1,DE TARAPACA,IQUIQUE,3,MUJER,VOTOS EN BLANCO ,,8,,2010 - 2014,
29,17/01/2010,2010,CHIAPA,HUARA,1,DE TARAPACA,IQUIQUE,3,HOMBRE,VOTOS NULOS ,,2,,2010 - 2014,
30,17/01/2010,2010,CHIAPA,HUARA,1,DE TARAPACA,IQUIQUE,3,MUJER,VOTOS NULOS ,,1,,2010 - 2014,
31,17/01/2010,2010,HUARA,HUARA,1,DE TARAPACA,IQUIQUE,3,HOMBRE,VOTOS NULOS ,,28,,2010 - 2014,
32,17/01/2010,2010,HUARA,HUARA,1,DE TARAPACA,IQUIQUE,3,MUJER,VOTOS NULOS ,,26,,2010 - 2014,
33,17/01/2010,2010,ALTO HOSPICIO,IQUIQUE,1,DE TARAPACA,IQUIQUE,3,HOMBRE,EDUARDO FREI,HOMBRE,2932,DEMOCRATA CRISTIANO,2010 - 2014,NO ELECTO
34,17/01/2010,2010,ALTO HOSPICIO,IQUIQUE,1,DE TARAPACA,IQUIQUE,3,MUJER,EDUARDO FREI,HOMBRE,3552,DEMOCRATA CRISTIANO,2010 - 2014,NO ELECTO
35,17/01/2010,2010,IQUIQUE,IQUIQUE,1,DE TARAPACA,IQUIQUE,3,HOMBRE,EDUARDO FREI,HOMBRE,13032,DEMOCRATA CRISTIANO,2010 - 2014,NO ELECTO
36,17/01/2010,2010,IQUIQUE,IQUIQUE,1,DE TARAPACA,IQUIQUE,3,MUJER,EDUARDO FREI,HOMBRE,13179,DEMOCRATA CRISTIANO,2010 - 2014,NO ELECTO
37,17/01/2010,2010,ALTO HOSPICIO,IQUIQUE,1,DE TARAPACA,IQUIQUE,3,HOMBRE,SEBASTIAN PIÑERA,HOMBRE,4065,RENOVACION NACIONAL,2010 - 2014,ELECTO
38,17/01/2010,2010,ALTO HOSPICIO,IQUIQUE,1,DE TARAPACA,IQUIQUE,3,MUJER,SEBASTIAN PIÑERA,HOMBRE,5176,RENOVACION NACIONAL,2010 - 2014,ELECTO
39,17/01/2010,2010,IQUIQUE,IQUIQUE,1,DE TARAPACA,IQUIQUE,3,HOMBRE,SEBASTIAN PIÑERA,HOMBRE,19666,RENOVACION NACIONAL,2010 - 2014,ELECTO
40,17/01/2010,2010,IQUIQUE,IQUIQUE,1,DE TARAPACA,IQUIQUE,3,MUJER,SEBASTIAN PIÑERA,HOMBRE,20810,RENOVACION NACIONAL,2010 - 2014,ELECTO
