id,fecha,año,circunscripción,comuna,id_región,región,provincia,id_provincia,sexo_mesa,candidato_nombre,candidato_sexo,válidos,partido,periodo,resultado
1,11/12/2005,2005,ALTO HOSPICIO,ALTO HOSPICIO,1,DE TARAPACA,IQUIQUE,3,HOMBRE,SEBASTIAN PIÑERA,HOMBRE,1118,RENOVACION NACIONAL,2006 - 2010,ELECTO
2,11/12/2005,2005,ALTO HOSPICIO,ALTO HOSPICIO,1,DE TARAPACA,IQUIQUE,3,MUJER,SEBASTIAN PIÑERA,HOMBRE,1075,RENOVACION NACIONAL,2006 - 2010,ELECTO
3,11/12/2005,2005,ALTO HOSPICIO,ALTO HOSPICIO,1,DE TARAPACA,IQUIQUE,3,HOMBRE,MICHELLE BACHELET,MUJER,3832,SOCIALISTA DE CHILE,2006 - 2010,ELECTO
4,11/12/2005,2005,ALTO HOSPICIO,ALTO HOSPICIO,1,DE TARAPACA,IQUIQUE,3,MUJER,MICHELLE BACHELET,MUJER,2823,SOCIALISTA DE CHILE,2006 - 2010,ELECTO
5,11/12/2005,2005,ALTO HOSPICIO,ALTO HOSPICIO,1,DE TARAPACA,IQUIQUE,3,HOMBRE,TOMAS HIRSCH,HOMBRE,366,HUMANISTA,2006 - 2010,NO ELECTO
6,11/12/2005,2005,ALTO HOSPICIO,ALTO HOSPICIO,1,DE TARAPACA,IQUIQUE,3,MUJER,TOMAS HIRSCH,HOMBRE,512,HUMANISTA,2006 - 2010,NO ELECTO
7,11/12/2005,2005,ALTO HOSPICIO,ALTO HOSPICIO,1,DE TARAPACA,IQUIQUE,3,HOMBRE,JOAQUIN LAVIN,HOMBRE,2245,UNION DEMOCRATA INDEPENDIENTE,2006 - 2010,NO ELECTO
8,11/12/2005,2005,ALTO HOSPICIO,ALTO HOSPICIO,1,DE TARAPACA,IQUIQUE,3,MUJER,JOAQUIN LAVIN,HOMBRE,1659,UNION DEMOCRATA INDEPENDIENTE,2006 - 2010,NO ELECTO
9,11/12/2005,2005,ALTO HOSPICIO,ALTO HOSPICIO,1,DE TARAPACA,IQUIQUE,3,HOMBRE,VOTOS EN BLANCO ,,77,,2006 - 2010,
10,11/12/2005,2005,ALTO HOSPICIO,ALTO HOSPICIO,1,DE TARAPACA,IQUIQUE,3,MUJER,VOTOS EN BLANCO ,,74,,2006 - 2010,
11,11/12/2005,2005,ALTO HOSPICIO,ALTO HOSPICIO,1,DE TARAPACA,IQUIQUE,3,HOMBRE,VOTOS NULOS ,,219,,2006 - 2010,
12,11/12/2005,2005,ALTO HOSPICIO,ALTO HOSPICIO,1,DE TARAPACA,IQUIQUE,3,MUJER,VOTOS NULOS ,,162,,2006 - 2010,
13,11/12/2005,2005,ARICA,ARICA,1,DE TARAPACA,ARICA,1,HOMBRE,SEBASTIAN PIÑERA,HOMBRE,8948,RENOVACION NACIONAL,2006 - 2010,ELECTO
14,11/12/2005,2005,ARICA,ARICA,1,DE TARAPACA,ARICA,1,MUJER,SEBASTIAN PIÑERA,HOMBRE,9146,RENOVACION NACIONAL,2006 - 2010,ELECTO
15,11/12/2005,2005,SAN MIGUEL DE AZAPA,ARICA,1,DE TARAPACA,ARICA,1,HOMBRE,SEBASTIAN PIÑERA,HOMBRE,69,RENOVACION NACIONAL,2006 - 2010,ELECTO
16,11/12/2005,2005,SAN MIGUEL DE AZAPA,ARICA,1,DE TARAPACA,ARICA,1,MUJER,SEBASTIAN PIÑERA,HOMBRE,80,RENOVACION NACIONAL,2006 - 2010,ELECTO
17,11/12/2005,2005,ARICA,ARICA,1,DE TARAPACA,ARICA,1,HOMBRE,MICHELLE BACHELET,MUJER,19254,SOCIALISTA DE CHILE,2006 - 2010,ELECTO
18,11/12/2005,2005,ARICA,ARICA,1,DE TARAPACA,ARICA,1,MUJER,MICHELLE BACHELET,MUJER,15447,SOCIALISTA DE CHILE,2006 - 2010,ELECTO
19,11/12/2005,2005,SAN MIGUEL DE AZAPA,ARICA,1,DE TARAPACA,ARICA,1,HOMBRE,MICHELLE BACHELET,MUJER,86,SOCIALISTA DE CHILE,2006 - 2010,ELECTO
20,11/12/2005,2005,SAN MIGUEL DE AZAPA,ARICA,1,DE TARAPACA,ARICA,1,MUJER,MICHELLE BACHELET,MUJER,66,SOCIALISTA DE CHILE,2006 - 2010,ELECTO
21,11/12/2005,2005,ARICA,ARICA,1,DE TARAPACA,ARICA,1,HOMBRE,TOMAS HIRSCH,HOMBRE,1762,HUMANISTA,2006 - 2010,NO ELECTO
22,11/12/2005,2005,ARICA,ARICA,1,DE TARAPACA,ARICA,1,MUJER,TOMAS HIRSCH,HOMBRE,2519,HUMANISTA,2006 - 2010,NO ELECTO
23,11/12/2005,2005,SAN MIGUEL DE AZAPA,ARICA,1,DE TARAPACA,ARICA,1,HOMBRE,TOMAS HIRSCH,HOMBRE,9,HUMANISTA,2006 - 2010,NO ELECTO
24,11/12/2005,2005,SAN MIGUEL DE AZAPA,ARICA,1,DE TARAPACA,ARICA,1,MUJER,TOMAS HIRSCH,HOMBRE,15,HUMANISTA,2006 - 2010,NO ELECTO
25,11/12/2005,2005,ARICA,ARICA,1,DE TARAPACA,ARICA,1,HOMBRE,JOAQUIN LAVIN,HOMBRE,10029,UNION DEMOCRATA INDEPENDIENTE,2006 - 2010,NO ELECTO
26,11/12/2005,2005,ARICA,ARICA,1,DE TARAPACA,ARICA,1,MUJER,JOAQUIN LAVIN,HOMBRE,7497,UNION DEMOCRATA INDEPENDIENTE,2006 - 2010,NO ELECTO
27,11/12/2005,2005,SAN MIGUEL DE AZAPA,ARICA,1,DE TARAPACA,ARICA,1,HOMBRE,JOAQUIN LAVIN,HOMBRE,67,UNION DEMOCRATA INDEPENDIENTE,2006 - 2010,NO ELECTO
28,11/12/2005,2005,SAN MIGUEL DE AZAPA,ARICA,1,DE TARAPACA,ARICA,1,MUJER,JOAQUIN LAVIN,HOMBRE,52,UNION DEMOCRATA INDEPENDIENTE,2006 - 2010,NO ELECTO
29,11/12/2005,2005,ARICA,ARICA,1,DE TARAPACA,ARICA,1,HOMBRE,VOTOS EN BLANCO ,,477,,2006 - 2010,
30,11/12/2005,2005,ARICA,ARICA,1,DE TARAPACA,ARICA,1,MUJER,VOTOS EN BLANCO ,,429,,2006 - 2010,
31,11/12/2005,2005,SAN MIGUEL DE AZAPA,ARICA,1,DE TARAPACA,ARICA,1,HOMBRE,VOTOS EN BLANCO ,,1,,2006 - 2010,
32,11/12/2005,2005,SAN MIGUEL DE AZAPA,ARICA,1,DE TARAPACA,ARICA,1,MUJER,VOTOS EN BLANCO ,,3,,2006 - 2010,
