date,house,n,method,prob,p1,p2,ptotal,nsnr,total,pregunta
17/11/2019,Activa Research,2000,online,0,78.20,6.70,84.90,15.10,100.00,Pensando en el plebiscito de entrada que se realizará en abril de 2020 ¿Cuál es tu intención de ir a votar en este plebiscito?
26/11/2019,Activa Research,1159,online,0,80.80,8.80,89.60,10.40,100.00,Pensando en el plebiscito de entrada que se realizará en abril de 2020 ¿Cuál es tu intención de ir a votar en este plebiscito?
12/12/2019,Coes,1215,face to face,0,89.90,6.50,96.40,3.60,100.00,¿Usted irá a votar en el plebiscito para definir si se redacta una Nueva Constitución en abril de 2020?
26/12/2019,Activa Research,1030,online,0,80.40,7.20,87.60,12.40,100.00,Pensando en el plebiscito de entrada que se realizará en abril de 2020 ¿Cuál es tu intención de ir a votar en este plebiscito?
26/12/2019,Activa Research,1030,online,1,54.80,45.20,100.00,0.00,100.00,Intención de ir a votar (votante probable)
15/01/2020,Mori,1000,face to face,0,78.00,9.00,87.00,13.00,100.00,¿VOTARÁ EN EL PLEBISCITO DEL 26 ABRIL 2020?
15/01/2020,Mori,780,face to face,1,69.00,31.00,100.00,0.00,100.00,¿Cuan probable es que vote en el plebiscito de abril 2020?
16/01/2020,Activa Research,950,online,1,48.90,51.10,100.00,0.00,100.00,Intención de ir a votar (votante probable)
16/01/2020,Activa Research,950,online,0,75.60,9.80,85.40,14.60,100.00,Pensando en el plebiscito de entrada que se realizará en abril de 2020 ¿Cuál es tu intención de ir a votar en este plebiscito?
21/01/2020,Data Influye,1033,online,0,83.00,3.00,86.00,14.00,100.00,¿Tiene pensado ir a votar en esa elección?
28/01/2020,Criteria Research,806,online,0,90.00,6.00,96.00,4.00,100.00,Probabilidad de votar en el plebiscito 
30/01/2020,Activa Research,975,online,1,41.80,58.20,100.00,0.00,100.00,Intención de ir a votar (votante probable)
30/01/2020,Activa Research,975,online,0,73.60,12.90,86.50,13.50,100.00,Pensando en el plebiscito de entrada que se realizará en abril de 2020 ¿Cuál es tu intención de ir a votar en este plebiscito?
12/02/2020,Activa Research,1135,online,0,71.10,14.90,86.00,14.00,100.00,¿Cuál es tu intención de ir a votar en este plebiscito?
13/02/2020,Activa Research,1045,online,1,41.10,58.90,100.00,0.00,100.00,Intención de ir a votar (votante probable)
13/02/2020,Activa Research,1045,online,0,73.00,10.70,83.70,16.30,100.00,Pensando en el plebiscito de entrada que se realizará en abril de 2020 ¿Cuál es tu intención de ir a votar en este plebiscito?
18/02/2020,Data Influye,1445,online,0,83.00,4.00,87.00,13.00,100.00,¿Tiene pensado ir a votar en esa elección?
28/02/2020,Activa Research,1043,online,1,51.90,48.10,100.00,0.00,100.00,Intención de ir a votar (votante probable)
28/02/2020,Activa Research,1043,online,0,72.30,14.70,87.00,13.00,100.00,Pensando en el plebiscito de entrada que se realizará en abril de 2020 ¿Cuál es tu intención de ir a votar en este plebiscito?
29/02/2020,Criteria Research,796,online,0,83.00,10.00,93.00,7.00,100.00,PROBABILIDAD DE VOTAR EN EL PLEBISCITO
12/03/2020,Activa Research,690,online,1,54.00,46.00,100.00,0.00,100.00,Intención de ir a votar (votante probable)
12/03/2020,Activa Research,1135,online,0,71.10,14.90,86.00,14.00,100.00,¿Cuál es tu intención de ir a votar en este plebiscito?
16/03/2020,Data Influye,1273,online,0,86.00,5.00,91.00,9.00,100.00,"En abril de este año habrá un Plebiscito para definir si hay o no una Nueva Constitución, ¿tiene pensado ir a votar en esa elección?"
27/03/2020,Activa Research,1230,online,1,59.00,41.00,100.00,0.00,100.00,Intención de ir a votar (votante probable)
27/03/2020,Activa Research,1230,online,0,76.10,12.20,88.30,11.70,100.00,Pensando en el plebiscito de entrada que se realizará en octubre de 2020 ¿Cuál es tu intención de ir a votar en este plebiscito?
14/04/2020,Activa Research,725,online,1,50.10,49.90,100.00,0.00,100.00,Intención de ir a votar (votante probable)
14/04/2020,Activa Research,1270,online,0,73.00,12.00,85.00,15.00,100.00,¿Cuál es tu intención de ir a votar en este plebiscito?
28/04/2020,Activa Research,736,online,1,53.50,46.50,100.00,0.00,100.00,Intención de ir a votar (votante probable)
28/04/2020,Activa Research,1227,online,0,76.50,11.60,88.10,11.90,100.00,¿Cuál es tu intención de ir a votar en este plebiscito?
30/04/2020,Cadem,712,phone,0,82.00,15.00,97.00,0.00,97.00,Disposición a votar ¿Pensando en la elección presidencial/plebiscito…?
12/05/2020,Activa Research,724,online,1,59.90,40.10,100.00,0.00,100.00,Intención de ir a votar (votante probable)
12/05/2020,Activa Research,1209,online,0,76.40,10.70,87.10,12.90,100.00,¿Cuál es tu intención de ir a votar en este plebiscito?
30/05/2020,Activa Research,661,online,1,49.90,50.10,100.00,0.00,100.00,Intención de ir a votar (votante probable)
30/05/2020,Activa Research,1215,online,0,70.70,12.30,83.00,17.00,100.00,¿Cuál es tu intención de ir a votar en este plebiscito?
13/06/2020,Activa Research,960,online,1,52.80,47.20,100.00,0.00,100.00,Intención de ir a votar (votante probable)
13/06/2020,Activa Research,1730,online,0,73.50,13.60,87.10,12.80,99.90,¿Cuál es tu intención de ir a votar en este plebiscito?
21/06/2020,Data Influye,1961,online,0,49.00,34.00,83.00,17.00,100.00,"Con respecto al Plebiscito de octubre próximo, de haber algunos contagios y fallecidos por Coronavirus aún, ¿cuál sería su actitud?"
28/06/2020,Activa Research,670,online,1,55.50,44.50,100.00,0.00,100.00,Intención de ir a votar (votante probable)
28/06/2020,Activa Research,1260,online,0,67.20,14.10,81.30,18.70,100.00,¿Cuál es tu intención de ir a votar en este plebiscito?
11/07/2020,Activa Research,747,online,1,52.50,47.50,100.00,0.00,100.00,Intención de ir a votar (votante probable)
11/07/2020,Activa Research,1340,online,0,74.30,13.00,87.30,12.70,100.00,¿Cuál es tu intención de ir a votar en este plebiscito?
26/07/2020,Data Influye,2034,online,0,64.00,25.00,89.00,11.00,100.00,"Con respecto al Plebiscito de octubre próximo, de haber algunos contagios y fallecidos por Coronavirus aún, ¿cuál sería su actitud?"
30/07/2020,Cadem,708,phone,0,80.00,16.00,96.00,4.00,100.00,Disposición a votar ¿Pensando en la elección presidencial/plebiscito…? %
01/08/2020,Activa Research,797,online,1,56.90,43.10,100.00,0.00,100.00,Intención de ir a votar (votante probable)
01/08/2020,Activa Research,1430,online,0,76.70,11.40,88.10,11.90,100.00,¿Cuál es tu intención de ir a votar en este plebiscito?
15/08/2020,Activa Research,857,online,1,53.50,46.50,100.00,0.00,100.00,Intención de ir a votar (votante probable)
15/08/2020,Activa Research,1434,online,0,70.80,15.40,86.20,13.80,100.00,¿Cuál es tu intención de ir a votar en este plebiscito?
19/08/2020,Ipsos,800,online,0,78.00,8.00,86.00,14.00,100.00,¿Usted va a votar en el plebiscito del próximo 25 de octubre?
21/08/2020,Cadem,705,phone,0,84.00,13.00,97.00,3.00,100.00,Disposición a votar ¿Pensando en la elección presidencial/plebiscito…?
24/08/2020,Data Influye,1940,online,0,79.00,4.00,83.00,17.00,100.00,"En octubre de este año habrá un Plebiscito para definir si hay o no una Nueva Constitución, ¿tiene pensado ir a votar en esa elección?"
24/08/2020,StatKnows,7721,online,0,44.00,,44.00,,44.00,"El estudio efectuado en agosto permitió también estimar qué porcentaje de la población inscrita en los registros electorales tiene intención de ir a votar. Corresponde al 44% del padrón electoral, lo que equivale a 6.465.366 personas"
28/08/2020,Cadem,706,phone,0,81.00,15.00,96.00,4.00,100.00,Disposición a votar ¿Pensando en la elección presidencial/plebiscito…? %
29/08/2020,Activa Research,920,online,1,52.00,48.00,100.00,0.00,100.00,Intención de ir a votar (votante probable)
29/08/2020,Activa Research,1544,online,0,67.80,14.90,82.70,17.30,100.00,Pensando en el plebiscito de entrada que se realizará en Octubre de 2020 ¿Cuál es tu intención de ir a votar en este plebiscito?
31/08/2020,Criteria Research,986,online,0,83.00,10.00,93.00,7.00,100.00,¿Cuán probable es que votes en el plebiscito del 25 de octubre?
04/09/2020,Cadem,703,phone,0,83.00,13.00,96.00,4.00,100.00,Disposición a votar ¿Pensando en la elección presidencial/plebiscito…? %
10/09/2020,CIIR,1522,phone,0,90.00,9.00,99.00,0.00,99.00,"Si el plebiscito de octubre para elegir si Chile aprueba o rechaza una nueva Constitución fuera el próximo domingo, ¿usted iría a votar?"
10/09/2020,CIIR,1126,phone,1,74.00,5.00,79.00,1.00,80.00,Dada la situación actual de Covid-19 en Chile y pensando en el plebiscito del próximo 25 octubre ¿usted?
12/09/2020,Activa Research,1415,online,0,75.10,13.40,88.50,11.50,100.00,Pensando en el plebiscito de entrada que se realizará en Octubre de 2020 ¿Cuál es tu intención de ir a votar en este plebiscito?
17/09/2020,Mori,1000,online,0,72.00,14.00,86.00,14.00,100.00,PARTICIPACIÓN ELECTORAL ¿VOTARÁ EN EL PLEBISCITO DEL 25 OCTUBRE 2020? TODOS LOS ELECTORES
17/09/2020,Mori,720,online,1,60.00,11.00,71.00,18.00,89.00,"P. En una escala de 0 a 10, donde 0 es “No Votaré” y 10 es “Votaré” ¿Cuán probable es que vote ?"
28/09/2020,Activa Research,1417,online,1,53.10,46.90,100.00,0.00,100.00,Intención de ir a votar (votante probable)
28/09/2020,Activa Research,1417,online,0,71.00,11.50,82.50,17.40,99.90,Pensando en el plebiscito de entrada que se realizará en Octubre de 2020 ¿Cuál es tu intención de ir a votar en este plebiscito?
30/09/2020,Criteria Research,1503,online,0,85.00,10.00,95.00,5.00,100.00,¿Cuán probable es que votes en el plebiscito del 25 de octubre? (AGOSTO Y SEPTIEMBRE 2020)
04/10/2020,Panel Ciudadano UDD,957,face to face,0,62.80,8.60,71.40,0.00,71.40,¿cuán interesado está en ir a votar?
05/10/2020,Data Influye,2145,online,0,76.00,8.00,84.00,0.00,84.00,"Este mes habrá un Plebiscito para definir si hay o no una Nueva Constitución, ¿tiene pensado ir a votar en esa elección?"
07/10/2020,Numen,16785,online,0,19.00,16.00,35.00,0.00,35.00,Cuán seguro/a esta de ir a votar el 25 de octubre
09/10/2020,Activa Research,1919,online,1,54.60,45.40,100.00,0.00,100.00,Intención de ir a votar (votante probable)
09/10/2020,Activa Research,3309,online,0,72.50,15.50,88.00,12.00,100.00,Pensando en el plebiscito de entrada que se realizará el 25 de Octubre de 2020 ¿Cuál es tu intención de ir a votar en este plebiscito?
