date,house,n,method,prob,p1,p2,ptotal,nsnr,total,pregunta
14/04/2020,Activa Research,725,online,1,61.70,31.50,93.20,0.00,93.20,¿Usted votará una Convención Mixta Constitucional o una Convención Constitucional? (votante probable)
28/04/2020,Activa Research,1227,online,0,53.10,23.50,76.60,12.40,89.00,¿Usted votará una Convención Mixta Constitucional o una Convención Constitucional?
28/04/2020,Activa Research,736,online,1,68.70,27.60,96.30,0.00,96.30,¿Usted votará una Convención Mixta Constitucional o una Convención Constitucional? (votante probable)
30/04/2020,Cadem,712,phone,0,50.00,42.00,92.00,8.00,100.00,¿Qué tipo de órgano debiera redactar la Nueva Constitución?
12/05/2020,Activa Research,1209,online,0,51.10,26.90,78.00,13.30,91.30,¿Usted votará una Convención Mixta Constitucional o una Convención Constitucional?
12/05/2020,Activa Research,724,online,1,67.10,30.00,97.10,0.30,97.40,¿Usted votará una Convención Mixta Constitucional o una Convención Constitucional? (votante probable)
30/05/2020,Activa Research,1215,online,0,45.20,31.00,76.20,12.60,88.80,¿Usted votará una Convención Mixta Constitucional o una Convención Constitucional?
30/05/2020,Activa Research,661,online,1,62.00,34.70,96.70,1.80,98.50,¿Usted votará una Convención Mixta Constitucional o una Convención Constitucional? (votante probable)
13/06/2020,Activa Research,1730,online,0,49.60,27.70,77.30,11.20,88.50,¿Usted votará una Convención Mixta Constitucional o una Convención Constitucional?
13/06/2020,Activa Research,960,online,1,63.00,34.60,97.60,1.90,99.50,¿Usted votará una Convención Mixta Constitucional o una Convención Constitucional? (votante probable)
28/06/2020,Activa Research,1260,online,0,46.50,26.90,73.40,11.60,85.00,¿Usted votará una Convención Mixta Constitucional o una Convención Constitucional?
28/06/2020,Activa Research,670,online,1,66.60,31.80,98.40,1.10,99.50,¿Usted votará una Convención Mixta Constitucional o una Convención Constitucional? (votante probable)
11/07/2020,Activa Research,1340,online,0,48.40,26.50,74.90,11.90,86.80,¿Usted votará una Convención Mixta Constitucional o una Convención Constitucional?
11/07/2020,Activa Research,747,online,1,66.20,29.20,95.40,3.10,98.50,¿Usted votará una Convención Mixta Constitucional o una Convención Constitucional? (votante probable)
01/08/2020,Activa Research,1430,online,0,48.70,31.60,80.30,9.30,89.60,¿Usted votará una Convención Mixta Constitucional o una Convención Constitucional?
01/08/2020,Activa Research,797,online,1,63.00,32.90,95.90,2.80,98.70,¿Usted votará una Convención Mixta Constitucional o una Convención Constitucional? (votante probable)
15/08/2020,Activa Research,1434,online,0,49.00,25.80,74.80,11.50,86.30,¿Usted votará una Convención Mixta Constitucional o una Convención Constitucional?
15/08/2020,Activa Research,857,online,1,65.00,31.70,96.70,3.20,99.90,¿Usted votará una Convención Mixta Constitucional o una Convención Constitucional? (votante probable)
24/08/2020,Data Influye,1940,online,0,55.00,26.00,81.00,19.00,100.00,"Y, en ese mismo plebiscito, para Ud., ¿qué tipo de órgano debiera redactar la Nueva Constitución?"
24/08/2020,StatKnows,7721,online,0,54.00,33.00,87.00,,87.00,“¿Qué tipo de órgano debiera redactar la nueva Constitución?”
29/08/2020,Activa Research,1544,online,0,46.50,28.00,74.50,13.20,87.70,Y pensando en el órgano que debe redactar esta nueva Constitución ¿Usted votará una Convención Mixta Constitucional o una Convención Constitucional?
29/08/2020,Activa Research,920,online,1,63.40,34.20,97.60,2.40,100.00,Y pensando en el órgano que debe redactar esta nueva Constitución ¿Usted votará una Convención Mixta Constitucional o una Convención Constitucional? (votante probable)
31/08/2020,Criteria Research,986,online,0,59.00,29.00,88.00,12.00,100.00,"Si el plebiscito por una nueva Constitución fuese el próximo domingo, ¿Por qué tipo de órgano votarías para redactar la nueva Constitución?"
