id,tipo,cargo,fecha,año,periodo_inicio,periodo_fin,periodo,id_región,región,circunscripción_senatorial,distrito,comuna,id_circunscripción,circusncripción,sexo_mesa,candidato,nombre,apellido1,apellido2,sexo,resultado,partido,sigla,lista,válidos
8269,Parlamentaria,Diputado,11/12/1993,1993,1994,1998,1994-1998,1,De Tarapaca,1,1,Camarones,3,Camarones,Mujer,Valcarce Medina Carlos,Carlos Raul,Valcarce,Medina,Hombre,Si,Renovacion Nacional,RN,B,23
8270,Parlamentaria,Diputado,11/12/1993,1993,1994,1998,1994-1998,1,De Tarapaca,1,1,Camarones,3,Camarones,Mujer,Torres Zamora Patricio,Patricio Alejandro,Torres,Zamora,Hombre,,Alianza Humanista-Verde,PHV,C,0
8271,Parlamentaria,Diputado,11/12/1993,1993,1994,1998,1994-1998,1,De Tarapaca,1,1,Camarones,3,Camarones,Mujer,Leblanc Valenzuela Luis,Luis Enrique,Leblanc,Valenzuela,Hombre,,Democrata Cristiano,PDC,D,22
8272,Parlamentaria,Diputado,11/12/1993,1993,1994,1998,1994-1998,1,De Tarapaca,1,1,Camarones,3,Camarones,Mujer,Urrutia Cardenas Salvador,Salvador Pedro,Urrutia,Cardenas,Hombre,Si,Por La Democracia,PPD,D,35
8273,Parlamentaria,Diputado,11/12/1993,1993,1994,1998,1994-1998,1,De Tarapaca,1,1,Camarones,3,Camarones,Mujer,Votos En Blanco, , , ,  ,, ,  ,,0
8274,Parlamentaria,Diputado,11/12/1993,1993,1994,1998,1994-1998,1,De Tarapaca,1,1,Camarones,3,Camarones,Mujer,Votos Nulos, ,  ,  ,  ,,  ,   ,,8
8275,Parlamentaria,Diputado,11/12/1993,1993,1994,1998,1994-1998,1,De Tarapaca,1,1,Camarones,525,Codpa,Hombre,Cisternas Flores Pedro,Pedro Armando,Cisternas,Flores,Hombre,,Comunista De Chile,PCCH,A,5
8276,Parlamentaria,Diputado,11/12/1993,1993,1994,1998,1994-1998,1,De Tarapaca,1,1,Camarones,525,Codpa,Hombre,Solari Ramirez Jose,Jose Natalio,Solari,Ramirez,Hombre,,Independiente,INDEP,B,13
8277,Parlamentaria,Diputado,11/12/1993,1993,1994,1998,1994-1998,1,De Tarapaca,1,1,Camarones,525,Codpa,Hombre,Valcarce Medina Carlos,Carlos Raul,Valcarce,Medina,Hombre,Si,Renovacion Nacional,RN,B,111
8278,Parlamentaria,Diputado,11/12/1993,1993,1994,1998,1994-1998,1,De Tarapaca,1,1,Camarones,525,Codpa,Hombre,Torres Zamora Patricio,Patricio Alejandro,Torres,Zamora,Hombre,,Alianza Humanista-Verde,PHV,C,6
8279,Parlamentaria,Diputado,11/12/1993,1993,1994,1998,1994-1998,1,De Tarapaca,1,1,Camarones,525,Codpa,Hombre,Leblanc Valenzuela Luis,Luis Enrique,Leblanc,Valenzuela,Hombre,,Democrata Cristiano,PDC,D,26
8280,Parlamentaria,Diputado,11/12/1993,1993,1994,1998,1994-1998,1,De Tarapaca,1,1,Camarones,525,Codpa,Hombre,Urrutia Cardenas Salvador,Salvador Pedro,Urrutia,Cardenas,Hombre,Si,Por La Democracia,PPD,D,77
8281,Parlamentaria,Diputado,11/12/1993,1993,1994,1998,1994-1998,1,De Tarapaca,1,1,Camarones,525,Codpa,Hombre,Votos En Blanco, , , ,  ,, ,  ,,15
8282,Parlamentaria,Diputado,11/12/1993,1993,1994,1998,1994-1998,1,De Tarapaca,1,1,Camarones,525,Codpa,Hombre,Votos Nulos, ,  ,  ,  ,,  ,   ,,17
8283,Parlamentaria,Diputado,11/12/1993,1993,1994,1998,1994-1998,1,De Tarapaca,1,1,Camarones,525,Codpa,Mujer,Cisternas Flores Pedro,Pedro Armando,Cisternas,Flores,Hombre,,Comunista De Chile,PCCH,A,6
8284,Parlamentaria,Diputado,11/12/1993,1993,1994,1998,1994-1998,1,De Tarapaca,1,1,Camarones,525,Codpa,Mujer,Solari Ramirez Jose,Jose Natalio,Solari,Ramirez,Hombre,,Independiente,INDEP,B,8
8285,Parlamentaria,Diputado,11/12/1993,1993,1994,1998,1994-1998,1,De Tarapaca,1,1,Camarones,525,Codpa,Mujer,Valcarce Medina Carlos,Carlos Raul,Valcarce,Medina,Hombre,Si,Renovacion Nacional,RN,B,115
8286,Parlamentaria,Diputado,11/12/1993,1993,1994,1998,1994-1998,1,De Tarapaca,1,1,Camarones,525,Codpa,Mujer,Torres Zamora Patricio,Patricio Alejandro,Torres,Zamora,Hombre,,Alianza Humanista-Verde,PHV,C,2
8287,Parlamentaria,Diputado,11/12/1993,1993,1994,1998,1994-1998,1,De Tarapaca,1,1,Camarones,525,Codpa,Mujer,Leblanc Valenzuela Luis,Luis Enrique,Leblanc,Valenzuela,Hombre,,Democrata Cristiano,PDC,D,17
8288,Parlamentaria,Diputado,11/12/1993,1993,1994,1998,1994-1998,1,De Tarapaca,1,1,Camarones,525,Codpa,Mujer,Urrutia Cardenas Salvador,Salvador Pedro,Urrutia,Cardenas,Hombre,Si,Por La Democracia,PPD,D,61
8289,Parlamentaria,Diputado,11/12/1993,1993,1994,1998,1994-1998,1,De Tarapaca,1,1,Camarones,525,Codpa,Mujer,Votos En Blanco, , , ,  ,, ,  ,,6
8290,Parlamentaria,Diputado,11/12/1993,1993,1994,1998,1994-1998,1,De Tarapaca,1,1,Camarones,525,Codpa,Mujer,Votos Nulos, ,  ,  ,  ,,  ,   ,,24
8291,Parlamentaria,Diputado,11/12/1993,1993,1994,1998,1994-1998,1,De Tarapaca,1,1,General Lagos,6,General Lagos,Hombre,Cisternas Flores Pedro,Pedro Armando,Cisternas,Flores,Hombre,,Comunista De Chile,PCCH,A,9
8292,Parlamentaria,Diputado,11/12/1993,1993,1994,1998,1994-1998,1,De Tarapaca,1,1,General Lagos,6,General Lagos,Hombre,Solari Ramirez Jose,Jose Natalio,Solari,Ramirez,Hombre,,Independiente,INDEP,B,20
8293,Parlamentaria,Diputado,11/12/1993,1993,1994,1998,1994-1998,1,De Tarapaca,1,1,General Lagos,6,General Lagos,Hombre,Valcarce Medina Carlos,Carlos Raul,Valcarce,Medina,Hombre,Si,Renovacion Nacional,RN,B,103
8294,Parlamentaria,Diputado,11/12/1993,1993,1994,1998,1994-1998,1,De Tarapaca,1,1,General Lagos,6,General Lagos,Hombre,Torres Zamora Patricio,Patricio Alejandro,Torres,Zamora,Hombre,,Alianza Humanista-Verde,PHV,C,4
8295,Parlamentaria,Diputado,11/12/1993,1993,1994,1998,1994-1998,1,De Tarapaca,1,1,General Lagos,6,General Lagos,Hombre,Leblanc Valenzuela Luis,Luis Enrique,Leblanc,Valenzuela,Hombre,,Democrata Cristiano,PDC,D,28
