id;tipo;cargo;fecha;año;periodo_inicio;periodo_fin;periodo;id_región;región;circunscripción_senatorial;distrito;comuna;id_circunscripción;circunscripción;sexo_mesa;candidato;nombre;apellido1;apellido2;sexo;resultado;partido;sigla;lista;válidos
27944;Parlamentaria;Senador;17/11/2013;2013;2014;2022;2014-2022;2;De Antofagasta;2;3;Calama;19;Calama;Mixta;Araya Guerrero Pedro;Pedro;Araya;Guerrero;Hombre;Si;Independiente;INDEP;C;4396
27945;Parlamentaria;Senador;17/11/2013;2013;2014;2022;2014-2022;2;De Antofagasta;2;3;Calama;19;Calama;Mixta;Guillier Alvarez Alejandro;Alejandro Rene Eleodoro;Guillier;Alvarez;Hombre;Si;Independiente;INDEP;C;17773
27946;Parlamentaria;Senador;17/11/2013;2013;2014;2022;2014-2022;2;De Antofagasta;2;3;Calama;19;Calama;Mixta;Contreras Braña Gisela;Gisela Andrea;Contreras;Braña;Mujer; ;Partido Humanista;PH;F;1371
27947;Parlamentaria;Senador;17/11/2013;2013;2014;2022;2014-2022;2;De Antofagasta;2;3;Calama;19;Calama;Mixta;Orrego Henriquez Jimena Estrella;Jimena Estrella;Orrego;Henriquez;Mujer; ;Independiente;INDEP;H;2022
27948;Parlamentaria;Senador;17/11/2013;2013;2014;2022;2014-2022;2;De Antofagasta;2;3;Calama;19;Calama;Mixta;Rojas Molina Manuel;Manuel Ernesto;Rojas;Molina;Hombre; ;Union Democrata Independiente;UDI;J;7799
27949;Parlamentaria;Senador;17/11/2013;2013;2014;2022;2014-2022;2;De Antofagasta;2;3;Calama;19;Calama;Mixta;Cantero Ojeda Carlos;Carlos Raul;Cantero;Ojeda;Hombre; ;Independiente;INDEP;L;6686
27950;Parlamentaria;Senador;17/11/2013;2013;2014;2022;2014-2022;2;De Antofagasta;2;3;Calama;19;Calama;Mixta;Guevara Cortes Daniel;Daniel Andres;Guevara;Cortes;Hombre; ;Independiente;INDEP;L;3843
27951;Parlamentaria;Senador;17/11/2013;2013;2014;2022;2014-2022;2;De Antofagasta;2;3;Calama;19;Calama;Mixta;Votos Nulos;  ;;;; ;  ;  ;;1767
27952;Parlamentaria;Senador;17/11/2013;2013;2014;2022;2014-2022;2;De Antofagasta;2;3;Calama;19;Calama;Mixta;Votos En Blanco;  ;;;; ;  ;  ;;1970
27953;Parlamentaria;Senador;17/11/2013;2013;2014;2022;2014-2022;2;De Antofagasta;2;3;Calama;20;Chuquicamata;Mixta;Araya Guerrero Pedro;Pedro;Araya;Guerrero;Hombre;Si;Independiente;INDEP;C;359
27954;Parlamentaria;Senador;17/11/2013;2013;2014;2022;2014-2022;2;De Antofagasta;2;3;Calama;20;Chuquicamata;Mixta;Guillier Alvarez Alejandro;Alejandro Rene Eleodoro;Guillier;Alvarez;Hombre;Si;Independiente;INDEP;C;1983
27955;Parlamentaria;Senador;17/11/2013;2013;2014;2022;2014-2022;2;De Antofagasta;2;3;Calama;20;Chuquicamata;Mixta;Contreras Braña Gisela;Gisela Andrea;Contreras;Braña;Mujer; ;Partido Humanista;PH;F;74
27956;Parlamentaria;Senador;17/11/2013;2013;2014;2022;2014-2022;2;De Antofagasta;2;3;Calama;20;Chuquicamata;Mixta;Orrego Henriquez Jimena Estrella;Jimena Estrella;Orrego;Henriquez;Mujer; ;Independiente;INDEP;H;86
27957;Parlamentaria;Senador;17/11/2013;2013;2014;2022;2014-2022;2;De Antofagasta;2;3;Calama;20;Chuquicamata;Mixta;Rojas Molina Manuel;Manuel Ernesto;Rojas;Molina;Hombre; ;Union Democrata Independiente;UDI;J;601
27958;Parlamentaria;Senador;17/11/2013;2013;2014;2022;2014-2022;2;De Antofagasta;2;3;Calama;20;Chuquicamata;Mixta;Cantero Ojeda Carlos;Carlos Raul;Cantero;Ojeda;Hombre; ;Independiente;INDEP;L;450
27959;Parlamentaria;Senador;17/11/2013;2013;2014;2022;2014-2022;2;De Antofagasta;2;3;Calama;20;Chuquicamata;Mixta;Guevara Cortes Daniel;Daniel Andres;Guevara;Cortes;Hombre; ;Independiente;INDEP;L;199
27960;Parlamentaria;Senador;17/11/2013;2013;2014;2022;2014-2022;2;De Antofagasta;2;3;Calama;20;Chuquicamata;Mixta;Votos Nulos;  ;;;; ;  ;  ;;132
27961;Parlamentaria;Senador;17/11/2013;2013;2014;2022;2014-2022;2;De Antofagasta;2;3;Calama;20;Chuquicamata;Mixta;Votos En Blanco;  ;;;; ;  ;  ;;79
27962;Parlamentaria;Senador;17/11/2013;2013;2014;2022;2014-2022;2;De Antofagasta;2;3;Calama;601;Chiu Chiu;Mixta;Araya Guerrero Pedro;Pedro;Araya;Guerrero;Hombre;Si;Independiente;INDEP;C;18
27963;Parlamentaria;Senador;17/11/2013;2013;2014;2022;2014-2022;2;De Antofagasta;2;3;Calama;601;Chiu Chiu;Mixta;Guillier Alvarez Alejandro;Alejandro Rene Eleodoro;Guillier;Alvarez;Hombre;Si;Independiente;INDEP;C;30
27964;Parlamentaria;Senador;17/11/2013;2013;2014;2022;2014-2022;2;De Antofagasta;2;3;Calama;601;Chiu Chiu;Mixta;Contreras Braña Gisela;Gisela Andrea;Contreras;Braña;Mujer; ;Partido Humanista;PH;F;5
27965;Parlamentaria;Senador;17/11/2013;2013;2014;2022;2014-2022;2;De Antofagasta;2;3;Calama;601;Chiu Chiu;Mixta;Orrego Henriquez Jimena Estrella;Jimena Estrella;Orrego;Henriquez;Mujer; ;Independiente;INDEP;H;12
27966;Parlamentaria;Senador;17/11/2013;2013;2014;2022;2014-2022;2;De Antofagasta;2;3;Calama;601;Chiu Chiu;Mixta;Rojas Molina Manuel;Manuel Ernesto;Rojas;Molina;Hombre; ;Union Democrata Independiente;UDI;J;30
27967;Parlamentaria;Senador;17/11/2013;2013;2014;2022;2014-2022;2;De Antofagasta;2;3;Calama;601;Chiu Chiu;Mixta;Cantero Ojeda Carlos;Carlos Raul;Cantero;Ojeda;Hombre; ;Independiente;INDEP;L;50
27968;Parlamentaria;Senador;17/11/2013;2013;2014;2022;2014-2022;2;De Antofagasta;2;3;Calama;601;Chiu Chiu;Mixta;Guevara Cortes Daniel;Daniel Andres;Guevara;Cortes;Hombre; ;Independiente;INDEP;L;7
27969;Parlamentaria;Senador;17/11/2013;2013;2014;2022;2014-2022;2;De Antofagasta;2;3;Calama;601;Chiu Chiu;Mixta;Votos Nulos;  ;;;; ;  ;  ;;7
27970;Parlamentaria;Senador;17/11/2013;2013;2014;2022;2014-2022;2;De Antofagasta;2;3;Calama;601;Chiu Chiu;Mixta;Votos En Blanco;  ;;;; ;  ;  ;;14
27971;Parlamentaria;Senador;17/11/2013;2013;2014;2022;2014-2022;2;De Antofagasta;2;3;Maria Elena;17;Maria Elena;Mixta;Araya Guerrero Pedro;Pedro;Araya;Guerrero;Hombre;Si;Independiente;INDEP;C;151
27972;Parlamentaria;Senador;17/11/2013;2013;2014;2022;2014-2022;2;De Antofagasta;2;3;Maria Elena;17;Maria Elena;Mixta;Guillier Alvarez Alejandro;Alejandro Rene Eleodoro;Guillier;Alvarez;Hombre;Si;Independiente;INDEP;C;773
27973;Parlamentaria;Senador;17/11/2013;2013;2014;2022;2014-2022;2;De Antofagasta;2;3;Maria Elena;17;Maria Elena;Mixta;Contreras Braña Gisela;Gisela Andrea;Contreras;Braña;Mujer; ;Partido Humanista;PH;F;30
27974;Parlamentaria;Senador;17/11/2013;2013;2014;2022;2014-2022;2;De Antofagasta;2;3;Maria Elena;17;Maria Elena;Mixta;Orrego Henriquez Jimena Estrella;Jimena Estrella;Orrego;Henriquez;Mujer; ;Independiente;INDEP;H;37
27975;Parlamentaria;Senador;17/11/2013;2013;2014;2022;2014-2022;2;De Antofagasta;2;3;Maria Elena;17;Maria Elena;Mixta;Rojas Molina Manuel;Manuel Ernesto;Rojas;Molina;Hombre; ;Union Democrata Independiente;UDI;J;748
27976;Parlamentaria;Senador;17/11/2013;2013;2014;2022;2014-2022;2;De Antofagasta;2;3;Maria Elena;17;Maria Elena;Mixta;Cantero Ojeda Carlos;Carlos Raul;Cantero;Ojeda;Hombre; ;Independiente;INDEP;L;87
27977;Parlamentaria;Senador;17/11/2013;2013;2014;2022;2014-2022;2;De Antofagasta;2;3;Maria Elena;17;Maria Elena;Mixta;Guevara Cortes Daniel;Daniel Andres;Guevara;Cortes;Hombre; ;Independiente;INDEP;L;68
27978;Parlamentaria;Senador;17/11/2013;2013;2014;2022;2014-2022;2;De Antofagasta;2;3;Maria Elena;17;Maria Elena;Mixta;Votos Nulos;  ;;;; ;  ;  ;;50
