id,tipo,cargo,fecha,año,periodo_inicio,periodo_fin,periodo,id_región,región,circunscripción_senatorial,distrito,comuna,id_circunscripción,circunscripción,sexo_mesa,candidato,nombre,apellido1,apellido2,sexo,resultado,partido,sigla,lista,válidos
27,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Camarones,3,Camarones,Hombre,Baraquett Jorratt Yulia,Julia,Baraquett,Jorratt,Mujer,,Independiente,INDEP,E,2
28,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Camarones,3,Camarones,Hombre,Pino Parraguez Raquel,Raquel Maria,Pino,Parraguez,Mujer,,Independiente,INDEP,E,3
29,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Camarones,3,Camarones,Hombre,Votos Nulos, ,,,,,  ,   ,,2
30,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Camarones,3,Camarones,Hombre,Votos En Blanco, ,,,,,  ,   ,,2
31,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Camarones,3,Camarones,Mujer,Palma Fourcade Anibal,Anibal Francisco,Palma,Fourcade,Hombre,,Independiente,INDEP,A,2
32,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Camarones,3,Camarones,Mujer,Palza Corvacho Humberto,Humberto,Palza,Corvacho,Hombre,Si,Democrata Cristiano,PDC,A,13
33,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Camarones,3,Camarones,Mujer,Abusleme Alfaro Gabriel,Gabriel Eduardo,Abusleme,Alfaro,Hombre,,Renovacion Nacional,RN,B,2
34,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Camarones,3,Camarones,Mujer,Lagos Cosgrove Julio,Julio Eloy,Lagos,Cosgrove,Hombre,Si,Independiente,INDEP,B,11
35,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Camarones,3,Camarones,Mujer,Dougnac Rodriguez Fernando,Fernando Sergio,Dougnac,Rodriguez,Hombre,,Independiente,INDEP,CI,0
36,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Camarones,3,Camarones,Mujer,Soria Quiroga Jorge Alejandro,Jorge Alejandro,Soria,Quiroga,Hombre,,Independiente,INDEP,CI,0
37,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Camarones,3,Camarones,Mujer,Baraquett Jorratt Yulia,Julia,Baraquett,Jorratt,Mujer,,Independiente,INDEP,E,2
38,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Camarones,3,Camarones,Mujer,Pino Parraguez Raquel,Raquel Maria,Pino,Parraguez,Mujer,,Independiente,INDEP,E,4
39,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Camarones,3,Camarones,Mujer,Votos Nulos, ,,,,,  ,   ,,4
40,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Camarones,3,Camarones,Mujer,Votos En Blanco, ,,,,,  ,   ,,1
41,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Camarones,525,Codpa,Hombre,Palma Fourcade Anibal,Anibal Francisco,Palma,Fourcade,Hombre,,Independiente,INDEP,A,4
42,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Camarones,525,Codpa,Hombre,Palza Corvacho Humberto,Humberto,Palza,Corvacho,Hombre,Si,Democrata Cristiano,PDC,A,42
43,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Camarones,525,Codpa,Hombre,Abusleme Alfaro Gabriel,Gabriel Eduardo,Abusleme,Alfaro,Hombre,,Renovacion Nacional,RN,B,17
44,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Camarones,525,Codpa,Hombre,Lagos Cosgrove Julio,Julio Eloy,Lagos,Cosgrove,Hombre,Si,Independiente,INDEP,B,71
45,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Camarones,525,Codpa,Hombre,Dougnac Rodriguez Fernando,Fernando Sergio,Dougnac,Rodriguez,Hombre,,Independiente,INDEP,CI,3
46,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Camarones,525,Codpa,Hombre,Soria Quiroga Jorge Alejandro,Jorge Alejandro,Soria,Quiroga,Hombre,,Independiente,INDEP,CI,2
47,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Camarones,525,Codpa,Hombre,Baraquett Jorratt Yulia,Julia,Baraquett,Jorratt,Mujer,,Independiente,INDEP,E,6
48,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Camarones,525,Codpa,Hombre,Pino Parraguez Raquel,Raquel Maria,Pino,Parraguez,Mujer,,Independiente,INDEP,E,2
49,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Camarones,525,Codpa,Hombre,Votos Nulos, ,,,,,  ,   ,,13
