id;tipo;cargo;fecha;año;periodo_inicio;periodo_fin;periodo;id_región;región;circunscripción_senatorial;distrito;comuna;id_circunscripción;circunscripción;sexo_mesa;candidato;nombre;apellido1;apellido2;sexo;resultado;partido;sigla;lista;válidos
30997;Parlamentaria;Senador;19/11/2017;2017;2018;2020;2018-2020;15;Arica Y Parinacota;1;1;Arica;1;Arica;Mixta;Pizarro Bossay Pablo Antonio;Pablo Antonio;Pizarro;Bossay;Hombre; ;Independiente Progresista;IND;B;426
30998;Parlamentaria;Senador;19/11/2017;2017;2018;2020;2018-2020;15;Arica Y Parinacota;1;1;Arica;1;Arica;Mixta;Zapata Velasquez Sandra Cecilia ;Sandra Cecilia ;Zapata;Velasquez;Mujer; ;Independiente Progresista;IND;B;327
30999;Parlamentaria;Senador;19/11/2017;2017;2018;2020;2018-2020;15;Arica Y Parinacota;1;1;Arica;1;Arica;Mixta;Diaz Bogdanic Rodrigo;Rodrigo;Diaz;Bogdanic;Hombre; ;Poder;PODER;G;1736
31000;Parlamentaria;Senador;19/11/2017;2017;2018;2020;2018-2020;15;Arica Y Parinacota;1;1;Arica;1;Arica;Mixta;Foppiano Diaz Veronica ;Veronica ;Foppiano;Diaz;Mujer; ;Liberal De Chile;PL;G;3709
31001;Parlamentaria;Senador;19/11/2017;2017;2018;2020;2018-2020;15;Arica Y Parinacota;1;1;Arica;1;Arica;Mixta;Ojeda Murillo Claudio;Claudio;Ojeda;Murillo;Hombre; ;Humanista;PH;G;766
31002;Parlamentaria;Senador;19/11/2017;2017;2018;2020;2018-2020;15;Arica Y Parinacota;1;1;Arica;1;Arica;Mixta;Insulza Salinas Jose Miguel;Jose Miguel;Insulza;Salinas;Hombre;Si;Socialista De Chile;PSCH;N;6655
31003;Parlamentaria;Senador;19/11/2017;2017;2018;2020;2018-2020;15;Arica Y Parinacota;1;1;Arica;1;Arica;Mixta;Urrutia Cardenas Salvador Pedro;Salvador Pedro;Urrutia;Cardenas;Hombre; ;Independiente Por La Democracia;IND;N;3295
31004;Parlamentaria;Senador;19/11/2017;2017;2018;2020;2018-2020;15;Arica Y Parinacota;1;1;Arica;1;Arica;Mixta;Parra Correa Trinidad Victoria;Trinidad Victoria;Parra;Correa;Mujer; ;Independiente Democrata Cristiano;IND;O;336
31005;Parlamentaria;Senador;19/11/2017;2017;2018;2020;2018-2020;15;Arica Y Parinacota;1;1;Arica;1;Arica;Mixta;Arancibia Cruz Mirtha ;Mirtha ;Arancibia;Cruz;Mujer; ;Renovacion Nacional;RN;P;513
31006;Parlamentaria;Senador;19/11/2017;2017;2018;2020;2018-2020;15;Arica Y Parinacota;1;1;Arica;1;Arica;Mixta;Barbosa Barrios Rodolfo ;Rodolfo ;Barbosa;Barrios;Hombre; ;Independiente Renovacion Nacional;IND;P;3518
31007;Parlamentaria;Senador;19/11/2017;2017;2018;2020;2018-2020;15;Arica Y Parinacota;1;1;Arica;1;Arica;Mixta;Durana Semir Jose ;Jose ;Durana;Semir;Hombre;Si;Union Democrata Independiente;UDI;P;4943
31008;Parlamentaria;Senador;19/11/2017;2017;2018;2020;2018-2020;15;Arica Y Parinacota;1;1;Arica;1;Arica;Mixta;Lee Flores Enrique ;Enrique ;Lee;Flores;Hombre; ;Candidatura Independiente;IND;R;6499
31009;Parlamentaria;Senador;19/11/2017;2017;2018;2020;2018-2020;15;Arica Y Parinacota;1;1;Arica;1;Arica;Mixta;Votos Nulos;;;;;;;;;785
31010;Parlamentaria;Senador;19/11/2017;2017;2018;2020;2018-2020;15;Arica Y Parinacota;1;1;Arica;1;Arica;Mixta;Votos En Blanco;;;;;;;;;596
31011;Parlamentaria;Senador;19/11/2017;2017;2018;2020;2018-2020;15;Arica Y Parinacota;1;1;Arica;599;San Miguel De Azapa;Mixta;Pizarro Bossay Pablo Antonio;Pablo Antonio;Pizarro;Bossay;Hombre; ;Independiente Progresista;IND;B;46
31012;Parlamentaria;Senador;19/11/2017;2017;2018;2020;2018-2020;15;Arica Y Parinacota;1;1;Arica;599;San Miguel De Azapa;Mixta;Zapata Velasquez Sandra Cecilia ;Sandra Cecilia ;Zapata;Velasquez;Mujer; ;Independiente Progresista;IND;B;33
31013;Parlamentaria;Senador;19/11/2017;2017;2018;2020;2018-2020;15;Arica Y Parinacota;1;1;Arica;599;San Miguel De Azapa;Mixta;Diaz Bogdanic Rodrigo;Rodrigo;Diaz;Bogdanic;Hombre; ;Poder;PODER;G;89
31014;Parlamentaria;Senador;19/11/2017;2017;2018;2020;2018-2020;15;Arica Y Parinacota;1;1;Arica;599;San Miguel De Azapa;Mixta;Foppiano Diaz Veronica ;Veronica ;Foppiano;Diaz;Mujer; ;Liberal De Chile;PL;G;103
31015;Parlamentaria;Senador;19/11/2017;2017;2018;2020;2018-2020;15;Arica Y Parinacota;1;1;Arica;599;San Miguel De Azapa;Mixta;Ojeda Murillo Claudio;Claudio;Ojeda;Murillo;Hombre; ;Humanista;PH;G;46
