id;tipo;cargo;fecha;año;periodo_inicio;periodo_fin;periodo;id_región;región;circunscripción_senatorial;distrito;comuna;id_circunscripción;circunscripción;sexo_mesa;candidato;nombre;apellido1;apellido2;sexo;resultado;partido;sigla;lista;válidos
18649;Parlamentaria;Senador;11/12/2005;2005;2006;2014;2006-2014;2;De Antofagasta;2;3;Calama;19;Calama;Hombre;Thompson Araya Luis Ernesto;Luis Ernesto;Thompson;Araya;Hombre;;Independiente;INDEP;A;460
18650;Parlamentaria;Senador;11/12/2005;2005;2006;2014;2006-2014;2;De Antofagasta;2;3;Calama;19;Calama;Hombre;Zuleta Alvarado Humberto;Humberto David;Zuleta;Alvarado;Hombre;;Independiente;INDEP;A;554
18651;Parlamentaria;Senador;11/12/2005;2005;2006;2014;2006-2014;2;De Antofagasta;2;3;Calama;19;Calama;Hombre;Frei Ruiz-Tagle Carmen;Carmen Victoria;Frei;Ruiz-Tagle;Mujer;;Democrata Cristiano;PDC;B;4080
18652;Parlamentaria;Senador;11/12/2005;2005;2006;2014;2006-2014;2;De Antofagasta;2;3;Calama;19;Calama;Hombre;Gomez Urrutia Jose Antonio;Jose Antonio;Gomez;Urrutia;Hombre;Si;Radical Socialdemocrata;PRSD;B;7934
18653;Parlamentaria;Senador;11/12/2005;2005;2006;2014;2006-2014;2;De Antofagasta;2;3;Calama;19;Calama;Hombre;Barrientos Muñoz Salvador;Salvador Alfonso;Barrientos;Muñoz;Hombre;;Comunista De Chile;PCCH;C;1048
18654;Parlamentaria;Senador;11/12/2005;2005;2006;2014;2006-2014;2;De Antofagasta;2;3;Calama;19;Calama;Hombre;Feres Nazarala Jose Gabriel;Jose Gabriel;Feres;Nazarala;Hombre;;Humanista;PH;C;300
18655;Parlamentaria;Senador;11/12/2005;2005;2006;2014;2006-2014;2;De Antofagasta;2;3;Calama;19;Calama;Hombre;Cantero Ojeda Carlos;Carlos Raul;Cantero;Ojeda;Hombre;Si;Renovacion Nacional;RN;D;3831
18656;Parlamentaria;Senador;11/12/2005;2005;2006;2014;2006-2014;2;De Antofagasta;2;3;Calama;19;Calama;Hombre;Leay Moran Cristian;Cristian Antonio;Leay;Moran;Hombre;;Union Democrata Independiente;UDI;D;4136
18657;Parlamentaria;Senador;11/12/2005;2005;2006;2014;2006-2014;2;De Antofagasta;2;3;Calama;19;Calama;Hombre;Votos Nulos;  ;;;;;  ;  ;;1798
18658;Parlamentaria;Senador;11/12/2005;2005;2006;2014;2006-2014;2;De Antofagasta;2;3;Calama;19;Calama;Hombre;Votos En Blanco;  ;;;;;  ;  ;;796
18659;Parlamentaria;Senador;11/12/2005;2005;2006;2014;2006-2014;2;De Antofagasta;2;3;Calama;19;Calama;Mujer;Thompson Araya Luis Ernesto;Luis Ernesto;Thompson;Araya;Hombre;;Independiente;INDEP;A;376
18660;Parlamentaria;Senador;11/12/2005;2005;2006;2014;2006-2014;2;De Antofagasta;2;3;Calama;19;Calama;Mujer;Zuleta Alvarado Humberto;Humberto David;Zuleta;Alvarado;Hombre;;Independiente;INDEP;A;578
18661;Parlamentaria;Senador;11/12/2005;2005;2006;2014;2006-2014;2;De Antofagasta;2;3;Calama;19;Calama;Mujer;Frei Ruiz-Tagle Carmen;Carmen Victoria;Frei;Ruiz-Tagle;Mujer;;Democrata Cristiano;PDC;B;4082
18662;Parlamentaria;Senador;11/12/2005;2005;2006;2014;2006-2014;2;De Antofagasta;2;3;Calama;19;Calama;Mujer;Gomez Urrutia Jose Antonio;Jose Antonio;Gomez;Urrutia;Hombre;Si;Radical Socialdemocrata;PRSD;B;8668
18663;Parlamentaria;Senador;11/12/2005;2005;2006;2014;2006-2014;2;De Antofagasta;2;3;Calama;19;Calama;Mujer;Barrientos Muñoz Salvador;Salvador Alfonso;Barrientos;Muñoz;Hombre;;Comunista De Chile;PCCH;C;666
18664;Parlamentaria;Senador;11/12/2005;2005;2006;2014;2006-2014;2;De Antofagasta;2;3;Calama;19;Calama;Mujer;Feres Nazarala Jose Gabriel;Jose Gabriel;Feres;Nazarala;Hombre;;Humanista;PH;C;287
18665;Parlamentaria;Senador;11/12/2005;2005;2006;2014;2006-2014;2;De Antofagasta;2;3;Calama;19;Calama;Mujer;Cantero Ojeda Carlos;Carlos Raul;Cantero;Ojeda;Hombre;Si;Renovacion Nacional;RN;D;3358
18666;Parlamentaria;Senador;11/12/2005;2005;2006;2014;2006-2014;2;De Antofagasta;2;3;Calama;19;Calama;Mujer;Leay Moran Cristian;Cristian Antonio;Leay;Moran;Hombre;;Union Democrata Independiente;UDI;D;5651
18667;Parlamentaria;Senador;11/12/2005;2005;2006;2014;2006-2014;2;De Antofagasta;2;3;Calama;19;Calama;Mujer;Votos Nulos;  ;;;;;  ;  ;;1866
18668;Parlamentaria;Senador;11/12/2005;2005;2006;2014;2006-2014;2;De Antofagasta;2;3;Calama;19;Calama;Mujer;Votos En Blanco;  ;;;;;  ;  ;;743
18669;Parlamentaria;Senador;11/12/2005;2005;2006;2014;2006-2014;2;De Antofagasta;2;3;Calama;20;Chuquicamata;Hombre;Thompson Araya Luis Ernesto;Luis Ernesto;Thompson;Araya;Hombre;;Independiente;INDEP;A;44
18670;Parlamentaria;Senador;11/12/2005;2005;2006;2014;2006-2014;2;De Antofagasta;2;3;Calama;20;Chuquicamata;Hombre;Zuleta Alvarado Humberto;Humberto David;Zuleta;Alvarado;Hombre;;Independiente;INDEP;A;89
18671;Parlamentaria;Senador;11/12/2005;2005;2006;2014;2006-2014;2;De Antofagasta;2;3;Calama;20;Chuquicamata;Hombre;Frei Ruiz-Tagle Carmen;Carmen Victoria;Frei;Ruiz-Tagle;Mujer;;Democrata Cristiano;PDC;B;636
18672;Parlamentaria;Senador;11/12/2005;2005;2006;2014;2006-2014;2;De Antofagasta;2;3;Calama;20;Chuquicamata;Hombre;Gomez Urrutia Jose Antonio;Jose Antonio;Gomez;Urrutia;Hombre;Si;Radical Socialdemocrata;PRSD;B;1415
18673;Parlamentaria;Senador;11/12/2005;2005;2006;2014;2006-2014;2;De Antofagasta;2;3;Calama;20;Chuquicamata;Hombre;Barrientos Muñoz Salvador;Salvador Alfonso;Barrientos;Muñoz;Hombre;;Comunista De Chile;PCCH;C;185
18674;Parlamentaria;Senador;11/12/2005;2005;2006;2014;2006-2014;2;De Antofagasta;2;3;Calama;20;Chuquicamata;Hombre;Feres Nazarala Jose Gabriel;Jose Gabriel;Feres;Nazarala;Hombre;;Humanista;PH;C;53
18675;Parlamentaria;Senador;11/12/2005;2005;2006;2014;2006-2014;2;De Antofagasta;2;3;Calama;20;Chuquicamata;Hombre;Cantero Ojeda Carlos;Carlos Raul;Cantero;Ojeda;Hombre;Si;Renovacion Nacional;RN;D;623
18676;Parlamentaria;Senador;11/12/2005;2005;2006;2014;2006-2014;2;De Antofagasta;2;3;Calama;20;Chuquicamata;Hombre;Leay Moran Cristian;Cristian Antonio;Leay;Moran;Hombre;;Union Democrata Independiente;UDI;D;535
18677;Parlamentaria;Senador;11/12/2005;2005;2006;2014;2006-2014;2;De Antofagasta;2;3;Calama;20;Chuquicamata;Hombre;Votos Nulos;  ;;;;;  ;  ;;254
