id,tipo,cargo,fecha,año,periodo_inicio,periodo_fin,periodo,vuelta,id_región,región,id_provincia,provincia,comuna,circunscripción,sexo_mesa,candidato,nombre,apellido1,apellido2,sexo,resultado,resultado,partido,sigla,válidos
29,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,1,Arica,Camarones,Codpa,Mujer,Votos Nulos ,,,,,,,,,5
30,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,1,Arica,Camarones,Codpa,Mujer,Votos En Blanco ,,,,,,,,,3
31,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Camiña,Camiña,Hombre,Francisco Javier Errazuriz,Francisco Javier,Errazuriz,Talavera,Hombre,,,Independiente,INDEP,62
32,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Camiña,Camiña,Hombre,Hernan Buchi,Hernan,Buchi,Buc,Hombre,,,Independiente,INDEP,231
33,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Camiña,Camiña,Hombre,Patricio Aylwin,Patricio,Aylwin,Azocar,Hombre,SI,,Democrata Cristiano,DC,69
34,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Camiña,Camiña,Hombre,Votos Nulos ,,,,,,,,,13
35,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Camiña,Camiña,Hombre,Votos En Blanco ,,,,,,,,,15
36,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Camiña,Camiña,Mujer,Francisco Javier Errazuriz,Francisco Javier,Errazuriz,Talavera,Hombre,,,Independiente,INDEP,46
37,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Camiña,Camiña,Mujer,Hernan Buchi,Hernan,Buchi,Buc,Hombre,,,Independiente,INDEP,189
38,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Camiña,Camiña,Mujer,Patricio Aylwin,Patricio,Aylwin,Azocar,Hombre,SI,,Democrata Cristiano,DC,35
39,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Camiña,Camiña,Mujer,Votos Nulos ,,,,,,,,,19
40,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Camiña,Camiña,Mujer,Votos En Blanco ,,,,,,,,,15
41,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Colchane,Colchane,Hombre,Francisco Javier Errazuriz,Francisco Javier,Errazuriz,Talavera,Hombre,,,Independiente,INDEP,87
42,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Colchane,Colchane,Hombre,Hernan Buchi,Hernan,Buchi,Buc,Hombre,,,Independiente,INDEP,177
43,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Colchane,Colchane,Hombre,Patricio Aylwin,Patricio,Aylwin,Azocar,Hombre,SI,,Democrata Cristiano,DC,109
44,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Colchane,Colchane,Hombre,Votos Nulos ,,,,,,,,,2
45,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Colchane,Colchane,Hombre,Votos En Blanco ,,,,,,,,,4
46,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Colchane,Colchane,Mujer,Francisco Javier Errazuriz,Francisco Javier,Errazuriz,Talavera,Hombre,,,Independiente,INDEP,44
47,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Colchane,Colchane,Mujer,Hernan Buchi,Hernan,Buchi,Buc,Hombre,,,Independiente,INDEP,136
48,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,3,Iquique,Colchane,Colchane,Mujer,Patricio Aylwin,Patricio,Aylwin,Azocar,Hombre,SI,,Democrata Cristiano,DC,67
