id,tipo,cargo,fecha,año,periodo_inicio,periodo_fin,periodo,vuelta,id_región,región,id_provincia,provincia,comuna,circunscripción,sexo_mesa,candidato,nombre,apellido1,apellido2,sexo,resultado,resultado,partido,sigla,válidos
12516,Presidencial,Presidente,12/12/1999,1999,2000,2006,2000 a 2006,1,1,De Tarapaca,1,Arica,Camarones,Camarones,Mujer,Ricardo Lagos,Ricardo,Lagos,Escobar,Hombre,2ª Votación,,Por La Democracia,PPD,98
12517,Presidencial,Presidente,12/12/1999,1999,2000,2006,2000 a 2006,1,1,De Tarapaca,1,Arica,Camarones,Camarones,Mujer,Sara Larrain,Sara,Larrain,Ruiz-Tagle,Mujer,,,Independiente,INDEP,1
12518,Presidencial,Presidente,12/12/1999,1999,2000,2006,2000 a 2006,1,1,De Tarapaca,1,Arica,Camarones,Camarones,Mujer,Tomas Hirsch,Tomas,Hirsch,Goldschmidt,Hombre,,,Humanista,PH,1
12519,Presidencial,Presidente,12/12/1999,1999,2000,2006,2000 a 2006,1,1,De Tarapaca,1,Arica,Camarones,Camarones,Mujer,Votos Nulos ,,,,,,,,,7
12520,Presidencial,Presidente,12/12/1999,1999,2000,2006,2000 a 2006,1,1,De Tarapaca,1,Arica,Camarones,Camarones,Mujer,Votos En Blanco ,,,,,,,,,3
12521,Presidencial,Presidente,12/12/1999,1999,2000,2006,2000 a 2006,1,1,De Tarapaca,1,Arica,Camarones,Codpa,Hombre,Arturo Frei,Arturo,Frei,Bolivar,Hombre,,,Union De Centro Centro,UCC,1
12522,Presidencial,Presidente,12/12/1999,1999,2000,2006,2000 a 2006,1,1,De Tarapaca,1,Arica,Camarones,Codpa,Hombre,Gladys Marin,Gladys,Marin,Millie,Mujer,,,Comunista De Chile,PC,4
12523,Presidencial,Presidente,12/12/1999,1999,2000,2006,2000 a 2006,1,1,De Tarapaca,1,Arica,Camarones,Codpa,Hombre,Joaquin Lavin,Joaquin,Lavin,Infante,Hombre,2ª Votación,,Union Democrata Independiente,UDI,138
12524,Presidencial,Presidente,12/12/1999,1999,2000,2006,2000 a 2006,1,1,De Tarapaca,1,Arica,Camarones,Codpa,Hombre,Ricardo Lagos,Ricardo,Lagos,Escobar,Hombre,2ª Votación,,Por La Democracia,PPD,71
12525,Presidencial,Presidente,12/12/1999,1999,2000,2006,2000 a 2006,1,1,De Tarapaca,1,Arica,Camarones,Codpa,Hombre,Sara Larrain,Sara,Larrain,Ruiz-Tagle,Mujer,,,Independiente,INDEP,0
12526,Presidencial,Presidente,12/12/1999,1999,2000,2006,2000 a 2006,1,1,De Tarapaca,1,Arica,Camarones,Codpa,Hombre,Tomas Hirsch,Tomas,Hirsch,Goldschmidt,Hombre,,,Humanista,PH,1
12527,Presidencial,Presidente,12/12/1999,1999,2000,2006,2000 a 2006,1,1,De Tarapaca,1,Arica,Camarones,Codpa,Hombre,Votos Nulos ,,,,,,,,,11
12528,Presidencial,Presidente,12/12/1999,1999,2000,2006,2000 a 2006,1,1,De Tarapaca,1,Arica,Camarones,Codpa,Hombre,Votos En Blanco ,,,,,,,,,2
12529,Presidencial,Presidente,12/12/1999,1999,2000,2006,2000 a 2006,1,1,De Tarapaca,1,Arica,Camarones,Codpa,Mujer,Arturo Frei,Arturo,Frei,Bolivar,Hombre,,,Union De Centro Centro,UCC,5
12530,Presidencial,Presidente,12/12/1999,1999,2000,2006,2000 a 2006,1,1,De Tarapaca,1,Arica,Camarones,Codpa,Mujer,Gladys Marin,Gladys,Marin,Millie,Mujer,,,Comunista De Chile,PC,9
12531,Presidencial,Presidente,12/12/1999,1999,2000,2006,2000 a 2006,1,1,De Tarapaca,1,Arica,Camarones,Codpa,Mujer,Joaquin Lavin,Joaquin,Lavin,Infante,Hombre,2ª Votación,,Union Democrata Independiente,UDI,160
12532,Presidencial,Presidente,12/12/1999,1999,2000,2006,2000 a 2006,1,1,De Tarapaca,1,Arica,Camarones,Codpa,Mujer,Ricardo Lagos,Ricardo,Lagos,Escobar,Hombre,2ª Votación,,Por La Democracia,PPD,86
12533,Presidencial,Presidente,12/12/1999,1999,2000,2006,2000 a 2006,1,1,De Tarapaca,1,Arica,Camarones,Codpa,Mujer,Sara Larrain,Sara,Larrain,Ruiz-Tagle,Mujer,,,Independiente,INDEP,2
12534,Presidencial,Presidente,12/12/1999,1999,2000,2006,2000 a 2006,1,1,De Tarapaca,1,Arica,Camarones,Codpa,Mujer,Tomas Hirsch,Tomas,Hirsch,Goldschmidt,Hombre,,,Humanista,PH,0
12535,Presidencial,Presidente,12/12/1999,1999,2000,2006,2000 a 2006,1,1,De Tarapaca,1,Arica,Camarones,Codpa,Mujer,Votos Nulos ,,,,,,,,,9
12536,Presidencial,Presidente,12/12/1999,1999,2000,2006,2000 a 2006,1,1,De Tarapaca,1,Arica,Camarones,Codpa,Mujer,Votos En Blanco ,,,,,,,,,1
12537,Presidencial,Presidente,12/12/1999,1999,2000,2006,2000 a 2006,1,1,De Tarapaca,3,Iquique,Camiña,Camiña,Hombre,Arturo Frei,Arturo,Frei,Bolivar,Hombre,,,Union De Centro Centro,UCC,5
12538,Presidencial,Presidente,12/12/1999,1999,2000,2006,2000 a 2006,1,1,De Tarapaca,3,Iquique,Camiña,Camiña,Hombre,Gladys Marin,Gladys,Marin,Millie,Mujer,,,Comunista De Chile,PC,7
12539,Presidencial,Presidente,12/12/1999,1999,2000,2006,2000 a 2006,1,1,De Tarapaca,3,Iquique,Camiña,Camiña,Hombre,Joaquin Lavin,Joaquin,Lavin,Infante,Hombre,2ª Votación,,Union Democrata Independiente,UDI,389
12540,Presidencial,Presidente,12/12/1999,1999,2000,2006,2000 a 2006,1,1,De Tarapaca,3,Iquique,Camiña,Camiña,Hombre,Ricardo Lagos,Ricardo,Lagos,Escobar,Hombre,2ª Votación,,Por La Democracia,PPD,92
12541,Presidencial,Presidente,12/12/1999,1999,2000,2006,2000 a 2006,1,1,De Tarapaca,3,Iquique,Camiña,Camiña,Hombre,Sara Larrain,Sara,Larrain,Ruiz-Tagle,Mujer,,,Independiente,INDEP,0
12542,Presidencial,Presidente,12/12/1999,1999,2000,2006,2000 a 2006,1,1,De Tarapaca,3,Iquique,Camiña,Camiña,Hombre,Tomas Hirsch,Tomas,Hirsch,Goldschmidt,Hombre,,,Humanista,PH,0
12543,Presidencial,Presidente,12/12/1999,1999,2000,2006,2000 a 2006,1,1,De Tarapaca,3,Iquique,Camiña,Camiña,Hombre,Votos Nulos ,,,,,,,,,5
