id,tipo,cargo,fecha,año,periodo_inicio,periodo_fin,periodo,vuelta,id_región,región,id_provincia,provincia,comuna,circunscripción,sexo_mesa,candidato,nombre,apellido1,apellido2,sexo,resultado,partido,sigla,válidos
4705,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,1,Arica,Camarones,Camarones,Mujer,Arturo Alessandri,Arturo,Alessandri,Besa,Hombre,,Independiente,INDEP,41
4706,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,1,Arica,Camarones,Camarones,Mujer,Cristian Reitze,Cristian,Reitze,Campos,Hombre,,Alianza Humanista Verde,AHV,1
4707,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,1,Arica,Camarones,Camarones,Mujer,Eduardo Frei,Eduardo,Frei,Ruiz-Tagle,Hombre,Si,Democrata Cristiano,DC,62
4708,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,1,Arica,Camarones,Camarones,Mujer,Eugenio Pizarro,Eugenio,Pizarro,Poblete,Hombre,,Independiente,INDEP,6
4709,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,1,Arica,Camarones,Camarones,Mujer,Jose Piñera,Jose,Piñera,Echenique,Hombre,,Independiente,INDEP,3
4710,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,1,Arica,Camarones,Camarones,Mujer,Manfred Max,Manfred,Max,Neef,Hombre,,Independiente,INDEP,4
4711,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,1,Arica,Camarones,Camarones,Mujer,Votos Nulos ,,,,,,,,5
4712,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,1,Arica,Camarones,Camarones,Mujer,Votos En Blanco ,,,,,,,,2
4713,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,1,Arica,Camarones,Codpa,Hombre,Arturo Alessandri,Arturo,Alessandri,Besa,Hombre,,Independiente,INDEP,100
4714,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,1,Arica,Camarones,Codpa,Hombre,Cristian Reitze,Cristian,Reitze,Campos,Hombre,,Alianza Humanista Verde,AHV,2
4715,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,1,Arica,Camarones,Codpa,Hombre,Eduardo Frei,Eduardo,Frei,Ruiz-Tagle,Hombre,Si,Democrata Cristiano,DC,85
4716,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,1,Arica,Camarones,Codpa,Hombre,Eugenio Pizarro,Eugenio,Pizarro,Poblete,Hombre,,Independiente,INDEP,17
4717,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,1,Arica,Camarones,Codpa,Hombre,Jose Piñera,Jose,Piñera,Echenique,Hombre,,Independiente,INDEP,11
4718,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,1,Arica,Camarones,Codpa,Hombre,Manfred Max,Manfred,Max,Neef,Hombre,,Independiente,INDEP,4
4719,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,1,Arica,Camarones,Codpa,Hombre,Votos Nulos ,,,,,,,,16
4720,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,1,Arica,Camarones,Codpa,Hombre,Votos En Blanco ,,,,,,,,4
4721,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,1,Arica,Camarones,Codpa,Mujer,Arturo Alessandri,Arturo,Alessandri,Besa,Hombre,,Independiente,INDEP,108
4722,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,1,Arica,Camarones,Codpa,Mujer,Cristian Reitze,Cristian,Reitze,Campos,Hombre,,Alianza Humanista Verde,AHV,4
4723,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,1,Arica,Camarones,Codpa,Mujer,Eduardo Frei,Eduardo,Frei,Ruiz-Tagle,Hombre,Si,Democrata Cristiano,DC,112
4724,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,1,Arica,Camarones,Codpa,Mujer,Eugenio Pizarro,Eugenio,Pizarro,Poblete,Hombre,,Independiente,INDEP,9
4725,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,1,Arica,Camarones,Codpa,Mujer,Jose Piñera,Jose,Piñera,Echenique,Hombre,,Independiente,INDEP,13
4726,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,1,Arica,Camarones,Codpa,Mujer,Manfred Max,Manfred,Max,Neef,Hombre,,Independiente,INDEP,7
4727,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,1,Arica,Camarones,Codpa,Mujer,Votos Nulos ,,,,,,,,13
4728,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,1,Arica,Camarones,Codpa,Mujer,Votos En Blanco ,,,,,,,,4
4729,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Camiña,Camiña,Hombre,Arturo Alessandri,Arturo,Alessandri,Besa,Hombre,,Independiente,INDEP,175
4730,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Camiña,Camiña,Hombre,Cristian Reitze,Cristian,Reitze,Campos,Hombre,,Alianza Humanista Verde,AHV,9
4731,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Camiña,Camiña,Hombre,Eduardo Frei,Eduardo,Frei,Ruiz-Tagle,Hombre,Si,Democrata Cristiano,DC,85
4732,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Camiña,Camiña,Hombre,Eugenio Pizarro,Eugenio,Pizarro,Poblete,Hombre,,Independiente,INDEP,15
4733,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Camiña,Camiña,Hombre,Jose Piñera,Jose,Piñera,Echenique,Hombre,,Independiente,INDEP,24
4734,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Camiña,Camiña,Hombre,Manfred Max,Manfred,Max,Neef,Hombre,,Independiente,INDEP,9
4735,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Camiña,Camiña,Hombre,Votos Nulos ,,,,,,,,23
4736,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Camiña,Camiña,Hombre,Votos En Blanco ,,,,,,,,13
4737,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Camiña,Camiña,Mujer,Arturo Alessandri,Arturo,Alessandri,Besa,Hombre,,Independiente,INDEP,187
4738,Presidencial,Presidente,11/12/1993,1993,1994,2000,1994 a 2000,1,1,De Tarapaca,3,Iquique,Camiña,Camiña,Mujer,Cristian Reitze,Cristian,Reitze,Campos,Hombre,,Alianza Humanista Verde,AHV,5
