id,tipo,cargo,fecha,año,periodo_inicio,periodo_fin,periodo,vuelta,id_región,región,id_provincia,provincia,comuna,circunscripción,sexo_mesa,candidato,nombre,apellido1,apellido2,sexo,resultado,partido,sigla,válidos
20617,Presidencial,Presidente,16/01/2000,2000,2000,2006,2000 a 2006,2,1,De Tarapaca,1,Arica,Arica,Arica,Hombre,Joaquin Lavin,Joaquin,Lavin,Infante,Hombre,,Union Democrata Independiente ,UDI,17804
20618,Presidencial,Presidente,16/01/2000,2000,2000,2006,2000 a 2006,2,1,De Tarapaca,1,Arica,Arica,Arica,Hombre,Ricardo Lagos,Ricardo,Lagos,Escobar,Hombre,Si,Por La Democracia ,PPD,20747
20619,Presidencial,Presidente,16/01/2000,2000,2000,2006,2000 a 2006,2,1,De Tarapaca,1,Arica,Arica,Arica,Hombre,Votos Nulos ,,,,,,,,836
20620,Presidencial,Presidente,16/01/2000,2000,2000,2006,2000 a 2006,2,1,De Tarapaca,1,Arica,Arica,Arica,Hombre,Votos En Blanco ,,,,,,,,305
20621,Presidencial,Presidente,16/01/2000,2000,2000,2006,2000 a 2006,2,1,De Tarapaca,1,Arica,Arica,Arica,Mujer,Joaquin Lavin,Joaquin,Lavin,Infante,Hombre,,Union Democrata Independiente ,UDI,21300
20622,Presidencial,Presidente,16/01/2000,2000,2000,2006,2000 a 2006,2,1,De Tarapaca,1,Arica,Arica,Arica,Mujer,Ricardo Lagos,Ricardo,Lagos,Escobar,Hombre,Si,Por La Democracia ,PPD,20618
20623,Presidencial,Presidente,16/01/2000,2000,2000,2006,2000 a 2006,2,1,De Tarapaca,1,Arica,Arica,Arica,Mujer,Votos Nulos ,,,,,,,,1250
20624,Presidencial,Presidente,16/01/2000,2000,2000,2006,2000 a 2006,2,1,De Tarapaca,1,Arica,Arica,Arica,Mujer,Votos En Blanco ,,,,,,,,326
20625,Presidencial,Presidente,16/01/2000,2000,2000,2006,2000 a 2006,2,1,De Tarapaca,1,Arica,Camarones,Camarones,Hombre,Joaquin Lavin,Joaquin,Lavin,Infante,Hombre,,Union Democrata Independiente ,UDI,133
20626,Presidencial,Presidente,16/01/2000,2000,2000,2006,2000 a 2006,2,1,De Tarapaca,1,Arica,Camarones,Camarones,Hombre,Ricardo Lagos,Ricardo,Lagos,Escobar,Hombre,Si,Por La Democracia ,PPD,111
20627,Presidencial,Presidente,16/01/2000,2000,2000,2006,2000 a 2006,2,1,De Tarapaca,1,Arica,Camarones,Camarones,Hombre,Votos Nulos ,,,,,,,,4
20628,Presidencial,Presidente,16/01/2000,2000,2000,2006,2000 a 2006,2,1,De Tarapaca,1,Arica,Camarones,Camarones,Hombre,Votos En Blanco ,,,,,,,,4
20629,Presidencial,Presidente,16/01/2000,2000,2000,2006,2000 a 2006,2,1,De Tarapaca,1,Arica,Camarones,Camarones,Mujer,Joaquin Lavin,Joaquin,Lavin,Infante,Hombre,,Union Democrata Independiente ,UDI,112
20630,Presidencial,Presidente,16/01/2000,2000,2000,2006,2000 a 2006,2,1,De Tarapaca,1,Arica,Camarones,Camarones,Mujer,Ricardo Lagos,Ricardo,Lagos,Escobar,Hombre,Si,Por La Democracia ,PPD,143
20631,Presidencial,Presidente,16/01/2000,2000,2000,2006,2000 a 2006,2,1,De Tarapaca,1,Arica,Camarones,Camarones,Mujer,Votos Nulos ,,,,,,,,5
20632,Presidencial,Presidente,16/01/2000,2000,2000,2006,2000 a 2006,2,1,De Tarapaca,1,Arica,Camarones,Camarones,Mujer,Votos En Blanco ,,,,,,,,1
20633,Presidencial,Presidente,16/01/2000,2000,2000,2006,2000 a 2006,2,1,De Tarapaca,1,Arica,Camarones,Codpa,Hombre,Joaquin Lavin,Joaquin,Lavin,Infante,Hombre,,Union Democrata Independiente ,UDI,148
20634,Presidencial,Presidente,16/01/2000,2000,2000,2006,2000 a 2006,2,1,De Tarapaca,1,Arica,Camarones,Codpa,Hombre,Ricardo Lagos,Ricardo,Lagos,Escobar,Hombre,Si,Por La Democracia ,PPD,109
20635,Presidencial,Presidente,16/01/2000,2000,2000,2006,2000 a 2006,2,1,De Tarapaca,1,Arica,Camarones,Codpa,Hombre,Votos Nulos ,,,,,,,,7
20636,Presidencial,Presidente,16/01/2000,2000,2000,2006,2000 a 2006,2,1,De Tarapaca,1,Arica,Camarones,Codpa,Hombre,Votos En Blanco ,,,,,,,,4
20637,Presidencial,Presidente,16/01/2000,2000,2000,2006,2000 a 2006,2,1,De Tarapaca,1,Arica,Camarones,Codpa,Mujer,Joaquin Lavin,Joaquin,Lavin,Infante,Hombre,,Union Democrata Independiente ,UDI,132
20638,Presidencial,Presidente,16/01/2000,2000,2000,2006,2000 a 2006,2,1,De Tarapaca,1,Arica,Camarones,Codpa,Mujer,Ricardo Lagos,Ricardo,Lagos,Escobar,Hombre,Si,Por La Democracia ,PPD,99
