id,tipo,cargo,fecha,año,periodo_inicio,periodo_fin,periodo,vuelta,id_región,región,id_provincia,provincia,comuna,circunscripción,sexo_mesa,candidato,nombre,apellido1,apellido2,sexo,resultado,partido,sigla,válidos
53338,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,1,De Tarapaca,3,Iquique,Iquique,Iquique,Mixta,Votos En Blanco,,,,,,,,268
53339,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,1,De Tarapaca,52,Del Tamarugal,Pica,Pica,Mixta,Evelyn Matthei Fornet,Evelyn Rose,Matthei,Fornet,Mujer,,Union Democrata Independiente,UDI,605
53340,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,1,De Tarapaca,52,Del Tamarugal,Pica,Pica,Mixta,Michelle Bachelet Jeria,Veronica Michelle,Bachelet,Jeria,Mujer,Si,Partido Socialista De Chile,PS,1018
53341,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,1,De Tarapaca,52,Del Tamarugal,Pica,Pica,Mixta,Votos Nulos,,,,,,,,23
53342,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,1,De Tarapaca,52,Del Tamarugal,Pica,Pica,Mixta,Votos En Blanco,,,,,,,,9
53343,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,1,De Tarapaca,52,Del Tamarugal,Pozo Almonte,Mamiña,Mixta,Evelyn Matthei Fornet,Evelyn Rose,Matthei,Fornet,Mujer,,Union Democrata Independiente,UDI,33
53344,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,1,De Tarapaca,52,Del Tamarugal,Pozo Almonte,Mamiña,Mixta,Michelle Bachelet Jeria,Veronica Michelle,Bachelet,Jeria,Mujer,Si,Partido Socialista De Chile,PS,100
53345,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,1,De Tarapaca,52,Del Tamarugal,Pozo Almonte,Mamiña,Mixta,Votos Nulos,,,,,,,,6
53346,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,1,De Tarapaca,52,Del Tamarugal,Pozo Almonte,Mamiña,Mixta,Votos En Blanco,,,,,,,,2
53347,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,1,De Tarapaca,52,Del Tamarugal,Pozo Almonte,Pozo Almonte,Mixta,Evelyn Matthei Fornet,Evelyn Rose,Matthei,Fornet,Mujer,,Union Democrata Independiente,UDI,1104
53348,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,1,De Tarapaca,52,Del Tamarugal,Pozo Almonte,Pozo Almonte,Mixta,Michelle Bachelet Jeria,Veronica Michelle,Bachelet,Jeria,Mujer,Si,Partido Socialista De Chile,PS,1797
53349,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,1,De Tarapaca,52,Del Tamarugal,Pozo Almonte,Pozo Almonte,Mixta,Votos Nulos,,,,,,,,30
53350,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,1,De Tarapaca,52,Del Tamarugal,Pozo Almonte,Pozo Almonte,Mixta,Votos En Blanco,,,,,,,,14
53351,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,2,De Antofagasta,6,Antofagasta,Antofagasta,Antofagasta Norte,Mixta,Evelyn Matthei Fornet,Evelyn Rose,Matthei,Fornet,Mujer,,Union Democrata Independiente,UDI,10467
53352,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,2,De Antofagasta,6,Antofagasta,Antofagasta,Antofagasta Norte,Mixta,Michelle Bachelet Jeria,Veronica Michelle,Bachelet,Jeria,Mujer,Si,Partido Socialista De Chile,PS,21465
53353,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,2,De Antofagasta,6,Antofagasta,Antofagasta,Antofagasta Norte,Mixta,Votos Nulos,,,,,,,,549
53354,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,2,De Antofagasta,6,Antofagasta,Antofagasta,Antofagasta Norte,Mixta,Votos En Blanco,,,,,,,,157
53355,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,2,De Antofagasta,6,Antofagasta,Antofagasta,Antofagasta Sur,Mixta,Evelyn Matthei Fornet,Evelyn Rose,Matthei,Fornet,Mujer,,Union Democrata Independiente,UDI,17642
