id,tipo,cargo,fecha,año,periodo_inicio,periodo_fin,periodo,vuelta,id_región,región,id_provincia,provincia,comuna,circunscripción,sexo_mesa,candidato,nombre,apellido1,apellido2,sexo,resultado,partido,sigla,válidos
47023,Presidencial,Presidente,17/11/2013,2013,2014,2018,2014 a 2018,1,1,De Tarapaca,3,Iquique,Alto Hospicio,Alto Hospicio,Mixta,Alfredo Sfeir Younis,Alfredo Juan,Sfeir,Younis,Hombre,,Partido Ecologista Verde,PEV,118
47024,Presidencial,Presidente,17/11/2013,2013,2014,2018,2014 a 2018,1,1,De Tarapaca,3,Iquique,Alto Hospicio,Alto Hospicio,Mixta,Evelyn Matthei Fornet,Evelyn Rose,Matthei,Fornet,Mujer,2ª Votación,Union Democrata Independiente,UDI,2446
47025,Presidencial,Presidente,17/11/2013,2013,2014,2018,2014 a 2018,1,1,De Tarapaca,3,Iquique,Alto Hospicio,Alto Hospicio,Mixta,Franco Aldo Parisi Fernandez,Franco Aldo,Parisi,Fernandez,Hombre,,Independiente,IND,3106
47026,Presidencial,Presidente,17/11/2013,2013,2014,2018,2014 a 2018,1,1,De Tarapaca,3,Iquique,Alto Hospicio,Alto Hospicio,Mixta,Marcel Claude Reyes,Marcel Henri,Claude,Reyes,Hombre,,Partido Humanista,PH,388
47027,Presidencial,Presidente,17/11/2013,2013,2014,2018,2014 a 2018,1,1,De Tarapaca,3,Iquique,Alto Hospicio,Alto Hospicio,Mixta,Marco Enriquez-Ominami Gumucio,Marco Antonio,Enriquez-Ominami,Gumucio,Hombre,,Partido Progresista,PRO,2031
47028,Presidencial,Presidente,17/11/2013,2013,2014,2018,2014 a 2018,1,1,De Tarapaca,3,Iquique,Alto Hospicio,Alto Hospicio,Mixta,Michelle Bachelet Jeria,Veronica Michelle,Bachelet,Jeria,Mujer,2ª Votación,Partido Socialista De Chile,PS,6353
47029,Presidencial,Presidente,17/11/2013,2013,2014,2018,2014 a 2018,1,1,De Tarapaca,3,Iquique,Alto Hospicio,Alto Hospicio,Mixta,Ricardo Israel Zipper,Ricardo Jacob,Israel,Zipper,Hombre,,Partido Regionalista De Los Independientes,PRI,55
47030,Presidencial,Presidente,17/11/2013,2013,2014,2018,2014 a 2018,1,1,De Tarapaca,3,Iquique,Alto Hospicio,Alto Hospicio,Mixta,Roxana Miranda Meneses,Roxana Del Pilar,Miranda,Meneses,Mujer,,Partido Igualdad,IGUALDAD,276
47031,Presidencial,Presidente,17/11/2013,2013,2014,2018,2014 a 2018,1,1,De Tarapaca,3,Iquique,Alto Hospicio,Alto Hospicio,Mixta,Tomas Jocelyn-Holt Letelier,Jose Tomas,Jocelyn-Holt,Letelier,Hombre,,Independiente,IND,18
47032,Presidencial,Presidente,17/11/2013,2013,2014,2018,2014 a 2018,1,1,De Tarapaca,3,Iquique,Alto Hospicio,Alto Hospicio,Mixta,Votos Nulos,,,,,,,,124
