id,tipo,cargo,fecha,año,periodo_inicio,periodo_fin,periodo,vuelta,id_región,región,id_provincia,provincia,comuna,circunscripción,sexo_mesa,candidato,nombre,apellido1,apellido2,sexo,resultado,partido,sigla,válidos
31319,Presidencial,Presidente,15/01/2006,2006,2006,2010,2006 a 2010,2,1,De Tarapaca,3,Iquique,Alto Hospicio,Alto Hospicio,Hombre,Michelle Bachelet,Michelle,Bachelet,Jeria,Mujer,Si,Socialista De Chile,PS,3910
31320,Presidencial,Presidente,15/01/2006,2006,2006,2010,2006 a 2010,2,1,De Tarapaca,3,Iquique,Alto Hospicio,Alto Hospicio,Hombre,Sebastian Piñera,Sebastian,Piñera,Echenique,Hombre,,Renovacion Nacional,RN,3430
31321,Presidencial,Presidente,15/01/2006,2006,2006,2010,2006 a 2010,2,1,De Tarapaca,3,Iquique,Alto Hospicio,Alto Hospicio,Hombre,Votos Nulos ,,,,,,,,195
31322,Presidencial,Presidente,15/01/2006,2006,2006,2010,2006 a 2010,2,1,De Tarapaca,3,Iquique,Alto Hospicio,Alto Hospicio,Hombre,Votos En Blanco ,,,,,,,,47
31323,Presidencial,Presidente,15/01/2006,2006,2006,2010,2006 a 2010,2,1,De Tarapaca,3,Iquique,Alto Hospicio,Alto Hospicio,Mujer,Michelle Bachelet,Michelle,Bachelet,Jeria,Mujer,Si,Socialista De Chile,PS,3170
31324,Presidencial,Presidente,15/01/2006,2006,2006,2010,2006 a 2010,2,1,De Tarapaca,3,Iquique,Alto Hospicio,Alto Hospicio,Mujer,Sebastian Piñera,Sebastian,Piñera,Echenique,Hombre,,Renovacion Nacional,RN,2780
31325,Presidencial,Presidente,15/01/2006,2006,2006,2010,2006 a 2010,2,1,De Tarapaca,3,Iquique,Alto Hospicio,Alto Hospicio,Mujer,Votos Nulos ,,,,,,,,134
31326,Presidencial,Presidente,15/01/2006,2006,2006,2010,2006 a 2010,2,1,De Tarapaca,3,Iquique,Alto Hospicio,Alto Hospicio,Mujer,Votos En Blanco ,,,,,,,,43
31327,Presidencial,Presidente,15/01/2006,2006,2006,2010,2006 a 2010,2,1,De Tarapaca,1,Arica,Arica,Arica,Hombre,Michelle Bachelet,Michelle,Bachelet,Jeria,Mujer,Si,Socialista De Chile,PS,21500
31328,Presidencial,Presidente,15/01/2006,2006,2006,2010,2006 a 2010,2,1,De Tarapaca,1,Arica,Arica,Arica,Hombre,Sebastian Piñera,Sebastian,Piñera,Echenique,Hombre,,Renovacion Nacional,RN,17958
31329,Presidencial,Presidente,15/01/2006,2006,2006,2010,2006 a 2010,2,1,De Tarapaca,1,Arica,Arica,Arica,Hombre,Votos Nulos ,,,,,,,,1445
31330,Presidencial,Presidente,15/01/2006,2006,2006,2010,2006 a 2010,2,1,De Tarapaca,1,Arica,Arica,Arica,Hombre,Votos En Blanco ,,,,,,,,344
31331,Presidencial,Presidente,15/01/2006,2006,2006,2010,2006 a 2010,2,1,De Tarapaca,1,Arica,Arica,Arica,Mujer,Michelle Bachelet,Michelle,Bachelet,Jeria,Mujer,Si,Socialista De Chile,PS,18311
31332,Presidencial,Presidente,15/01/2006,2006,2006,2010,2006 a 2010,2,1,De Tarapaca,1,Arica,Arica,Arica,Mujer,Sebastian Piñera,Sebastian,Piñera,Echenique,Hombre,,Renovacion Nacional,RN,16060
31333,Presidencial,Presidente,15/01/2006,2006,2006,2010,2006 a 2010,2,1,De Tarapaca,1,Arica,Arica,Arica,Mujer,Votos Nulos ,,,,,,,,979
31334,Presidencial,Presidente,15/01/2006,2006,2006,2010,2006 a 2010,2,1,De Tarapaca,1,Arica,Arica,Arica,Mujer,Votos En Blanco ,,,,,,,,296
31335,Presidencial,Presidente,15/01/2006,2006,2006,2010,2006 a 2010,2,1,De Tarapaca,1,Arica,Arica,San Miguel De Azapa,Hombre,Michelle Bachelet,Michelle,Bachelet,Jeria,Mujer,Si,Socialista De Chile,PS,103
31336,Presidencial,Presidente,15/01/2006,2006,2006,2010,2006 a 2010,2,1,De Tarapaca,1,Arica,Arica,San Miguel De Azapa,Hombre,Sebastian Piñera,Sebastian,Piñera,Echenique,Hombre,,Renovacion Nacional,RN,126
31337,Presidencial,Presidente,15/01/2006,2006,2006,2010,2006 a 2010,2,1,De Tarapaca,1,Arica,Arica,San Miguel De Azapa,Hombre,Votos Nulos ,,,,,,,,9
31338,Presidencial,Presidente,15/01/2006,2006,2006,2010,2006 a 2010,2,1,De Tarapaca,1,Arica,Arica,San Miguel De Azapa,Hombre,Votos En Blanco ,,,,,,,,1
31339,Presidencial,Presidente,15/01/2006,2006,2006,2010,2006 a 2010,2,1,De Tarapaca,1,Arica,Arica,San Miguel De Azapa,Mujer,Michelle Bachelet,Michelle,Bachelet,Jeria,Mujer,Si,Socialista De Chile,PS,89
31340,Presidencial,Presidente,15/01/2006,2006,2006,2010,2006 a 2010,2,1,De Tarapaca,1,Arica,Arica,San Miguel De Azapa,Mujer,Sebastian Piñera,Sebastian,Piñera,Echenique,Hombre,,Renovacion Nacional,RN,128
31341,Presidencial,Presidente,15/01/2006,2006,2006,2010,2006 a 2010,2,1,De Tarapaca,1,Arica,Arica,San Miguel De Azapa,Mujer,Votos Nulos ,,,,,,,,9
31342,Presidencial,Presidente,15/01/2006,2006,2006,2010,2006 a 2010,2,1,De Tarapaca,1,Arica,Arica,San Miguel De Azapa,Mujer,Votos En Blanco ,,,,,,,,4
31343,Presidencial,Presidente,15/01/2006,2006,2006,2010,2006 a 2010,2,1,De Tarapaca,1,Arica,Camarones,Camarones,Hombre,Michelle Bachelet,Michelle,Bachelet,Jeria,Mujer,Si,Socialista De Chile,PS,137
31344,Presidencial,Presidente,15/01/2006,2006,2006,2010,2006 a 2010,2,1,De Tarapaca,1,Arica,Camarones,Camarones,Hombre,Sebastian Piñera,Sebastian,Piñera,Echenique,Hombre,,Renovacion Nacional,RN,90
31345,Presidencial,Presidente,15/01/2006,2006,2006,2010,2006 a 2010,2,1,De Tarapaca,1,Arica,Camarones,Camarones,Hombre,Votos Nulos ,,,,,,,,8
31346,Presidencial,Presidente,15/01/2006,2006,2006,2010,2006 a 2010,2,1,De Tarapaca,1,Arica,Camarones,Camarones,Hombre,Votos En Blanco ,,,,,,,,2
31347,Presidencial,Presidente,15/01/2006,2006,2006,2010,2006 a 2010,2,1,De Tarapaca,1,Arica,Camarones,Camarones,Mujer,Michelle Bachelet,Michelle,Bachelet,Jeria,Mujer,Si,Socialista De Chile,PS,121
31348,Presidencial,Presidente,15/01/2006,2006,2006,2010,2006 a 2010,2,1,De Tarapaca,1,Arica,Camarones,Camarones,Mujer,Sebastian Piñera,Sebastian,Piñera,Echenique,Hombre,,Renovacion Nacional,RN,147
31349,Presidencial,Presidente,15/01/2006,2006,2006,2010,2006 a 2010,2,1,De Tarapaca,1,Arica,Camarones,Camarones,Mujer,Votos Nulos ,,,,,,,,6
31350,Presidencial,Presidente,15/01/2006,2006,2006,2010,2006 a 2010,2,1,De Tarapaca,1,Arica,Camarones,Camarones,Mujer,Votos En Blanco ,,,,,,,,1
31351,Presidencial,Presidente,15/01/2006,2006,2006,2010,2006 a 2010,2,1,De Tarapaca,1,Arica,Camarones,Codpa,Hombre,Michelle Bachelet,Michelle,Bachelet,Jeria,Mujer,Si,Socialista De Chile,PS,229
31352,Presidencial,Presidente,15/01/2006,2006,2006,2010,2006 a 2010,2,1,De Tarapaca,1,Arica,Camarones,Codpa,Hombre,Sebastian Piñera,Sebastian,Piñera,Echenique,Hombre,,Renovacion Nacional,RN,207
31353,Presidencial,Presidente,15/01/2006,2006,2006,2010,2006 a 2010,2,1,De Tarapaca,1,Arica,Camarones,Codpa,Hombre,Votos Nulos ,,,,,,,,7
31354,Presidencial,Presidente,15/01/2006,2006,2006,2010,2006 a 2010,2,1,De Tarapaca,1,Arica,Camarones,Codpa,Hombre,Votos En Blanco ,,,,,,,,6
31355,Presidencial,Presidente,15/01/2006,2006,2006,2010,2006 a 2010,2,1,De Tarapaca,1,Arica,Camarones,Codpa,Mujer,Michelle Bachelet,Michelle,Bachelet,Jeria,Mujer,Si,Socialista De Chile,PS,198
31356,Presidencial,Presidente,15/01/2006,2006,2006,2010,2006 a 2010,2,1,De Tarapaca,1,Arica,Camarones,Codpa,Mujer,Sebastian Piñera,Sebastian,Piñera,Echenique,Hombre,,Renovacion Nacional,RN,225
31357,Presidencial,Presidente,15/01/2006,2006,2006,2010,2006 a 2010,2,1,De Tarapaca,1,Arica,Camarones,Codpa,Mujer,Votos Nulos ,,,,,,,,8
31358,Presidencial,Presidente,15/01/2006,2006,2006,2010,2006 a 2010,2,1,De Tarapaca,1,Arica,Camarones,Codpa,Mujer,Votos En Blanco ,,,,,,,,1
31359,Presidencial,Presidente,15/01/2006,2006,2006,2010,2006 a 2010,2,1,De Tarapaca,3,Iquique,Camiña,Camiña,Hombre,Michelle Bachelet,Michelle,Bachelet,Jeria,Mujer,Si,Socialista De Chile,PS,129
31360,Presidencial,Presidente,15/01/2006,2006,2006,2010,2006 a 2010,2,1,De Tarapaca,3,Iquique,Camiña,Camiña,Hombre,Sebastian Piñera,Sebastian,Piñera,Echenique,Hombre,,Renovacion Nacional,RN,460
31361,Presidencial,Presidente,15/01/2006,2006,2006,2010,2006 a 2010,2,1,De Tarapaca,3,Iquique,Camiña,Camiña,Hombre,Votos Nulos ,,,,,,,,6
31362,Presidencial,Presidente,15/01/2006,2006,2006,2010,2006 a 2010,2,1,De Tarapaca,3,Iquique,Camiña,Camiña,Hombre,Votos En Blanco ,,,,,,,,4
