id,tipo,cargo,fecha,año,periodo_inicio,periodo_fin,periodo,vuelta,id_región,región,id_provincia,provincia,comuna,circunscripción,sexo_mesa,candidato,nombre,apellido1,apellido2,sexo,resultado,partido,sigla,válidos
35743,Presidencial,Presidente,13/12/2009,2009,2010,2014,2010 a 2014,1,1,De Tarapaca,3,Iquique,Camiña,Camiña,Hombre,Eduardo Frei,Eduardo,Frei,Ruiz-Tagle,Hombre,2ª Votación,Democrata Cristiano,PDC,68
35744,Presidencial,Presidente,13/12/2009,2009,2010,2014,2010 a 2014,1,1,De Tarapaca,3,Iquique,Camiña,Camiña,Hombre,Jorge Arrate,Jorge,Arrate,Mac-Niven ,Hombre,,Comunista De Chile,PCCH,17
35745,Presidencial,Presidente,13/12/2009,2009,2010,2014,2010 a 2014,1,1,De Tarapaca,3,Iquique,Camiña,Camiña,Hombre,Marco Enriquez-Ominami,Marco Anton,Enriquez-Ominami,Gumucio,Hombre,,Independiente,NULL,82
35746,Presidencial,Presidente,13/12/2009,2009,2010,2014,2010 a 2014,1,1,De Tarapaca,3,Iquique,Camiña,Camiña,Hombre,Sebastian Piñera,Sebastian,Piñera,Echenique,Hombre,2ª Votación,Renovacion Nacional,RN,420
35747,Presidencial,Presidente,13/12/2009,2009,2010,2014,2010 a 2014,1,1,De Tarapaca,3,Iquique,Camiña,Camiña,Hombre,Votos Nulos ,,,,,,,,8
35748,Presidencial,Presidente,13/12/2009,2009,2010,2014,2010 a 2014,1,1,De Tarapaca,3,Iquique,Camiña,Camiña,Hombre,Votos En Blanco ,,,,,,,,5
35749,Presidencial,Presidente,13/12/2009,2009,2010,2014,2010 a 2014,1,1,De Tarapaca,3,Iquique,Camiña,Camiña,Mujer,Eduardo Frei,Eduardo,Frei,Ruiz-Tagle,Hombre,2ª Votación,Democrata Cristiano,PDC,64
35750,Presidencial,Presidente,13/12/2009,2009,2010,2014,2010 a 2014,1,1,De Tarapaca,3,Iquique,Camiña,Camiña,Mujer,Jorge Arrate,Jorge,Arrate,Mac-Niven ,Hombre,,Comunista De Chile,PCCH,16
35751,Presidencial,Presidente,13/12/2009,2009,2010,2014,2010 a 2014,1,1,De Tarapaca,3,Iquique,Camiña,Camiña,Mujer,Marco Enriquez-Ominami,Marco Anton,Enriquez-Ominami,Gumucio,Hombre,,Independiente,NULL,100
35752,Presidencial,Presidente,13/12/2009,2009,2010,2014,2010 a 2014,1,1,De Tarapaca,3,Iquique,Camiña,Camiña,Mujer,Sebastian Piñera,Sebastian,Piñera,Echenique,Hombre,2ª Votación,Renovacion Nacional,RN,424
