fecha,encuesta,aprueba,desaprueba,dif,,
12/09/2020,Activa Research,19.70,69.70,-50.00,,
10/09/2020,Cadem,22.00,69.00,-47.00,,
04/09/2020,Cadem,19.00,72.00,-53.00,,
31/08/2020,Criteria Research,15.00,79.00,-64.00,,
29/08/2020,Activa Research,20.90,69.20,-48.30,,
28/08/2020,Cadem,18.00,72.00,-54.00,,
24/08/2020,Data Influye,11.00,70.00,-59.00,,
21/08/2020,Cadem,20.00,71.00,-51.00,,
15/08/2020,Activa Research,14.60,67.50,-52.90,,
13/08/2020,Cadem,19.00,71.00,-52.00,,
06/08/2020,Cadem,20.00,70.00,-50.00,,
01/08/2020,Activa Research,15.00,73.00,-58.00,,
31/07/2020,Criteria Research,12.00,82.00,-70.00,,
30/07/2020,Cadem,20.00,72.00,-52.00,,
26/07/2020,Data Influye,9.00,73.00,-64.00,,
24/07/2020,Cadem,12.00,78.00,-66.00,,
24/07/2020,Feedback,13.00,70.00,-57.00,,
17/07/2020,Cadem,16.00,74.00,-58.00,,
11/07/2020,Activa Research,11.40,74.80,-63.40,,
10/07/2020,Cadem,17.00,71.00,-54.00,,
03/07/2020,Cadem,23.00,65.00,-42.00,,
30/06/2020,Criteria Research,17.00,77.00,-60.00,,
28/06/2020,Activa Research,12.50,76.60,-64.10,,
26/06/2020,Cadem,27.00,62.00,-35.00,,
21/06/2020,Data Influye,13.00,66.00,-53.00,,
19/06/2020,Cadem,24.00,65.00,-41.00,,
13/06/2020,Activa Research,13.60,75.60,-62.00,,
12/06/2020,Cadem,24.00,65.00,-41.00,,
05/06/2020,Cadem,27.00,64.00,-37.00,,
31/05/2020,Criteria Research,24.00,68.00,-44.00,,
30/05/2020,Activa Research,12.70,73.60,-60.90,,
28/05/2020,Cadem,29.00,60.00,-31.00,,
22/05/2020,Cadem,27.00,63.00,-36.00,,
19/05/2020,Data Influye,15.00,65.00,-50.00,,
14/05/2020,Cadem,24.00,66.00,-42.00,,
12/05/2020,Activa Research,18.00,73.80,-55.80,,
07/05/2020,Cadem,25.00,66.00,-41.00,,
04/05/2020,Criteria Research,23.00,70.00,-47.00,,
03/05/2020,Feedback,32.00,56.00,-24.00,,
30/04/2020,Cadem,25.00,64.00,-39.00,,
28/04/2020,Activa Research,13.20,72.80,-59.60,,
23/04/2020,Cadem,24.00,65.00,-41.00,,
20/04/2020,Data Influye,13.00,69.00,-56.00,,
16/04/2020,Cadem,25.00,65.00,-40.00,,
09/04/2020,Activa Research,14.30,75.10,-60.80,,
09/04/2020,Cadem,22.00,67.00,-45.00,,
03/04/2020,Cadem,19.00,72.00,-53.00,,
30/03/2020,Criteria Research,15.00,80.00,-65.00,,
29/03/2020,Criteria Research,14.00,80.00,-66.00,,
27/03/2020,Activa Research,11.60,78.60,-67.00,,
26/03/2020,Feedback,25.00,63.00,-38.00,,
24/03/2020,Cadem,21.00,68.00,-47.00,,
20/03/2020,Cadem,18.00,71.00,-53.00,,
16/03/2020,Data Influye,8.00,76.00,-68.00,,
13/03/2020,Cadem,12.00,81.00,-69.00,,
12/03/2020,Activa Research,9.00,77.80,-68.80,,
06/03/2020,Cadem,11.00,81.00,-70.00,,
28/02/2020,Activa Research,6.70,81.40,-74.70,,
28/02/2020,Cadem,12.00,81.00,-69.00,,
21/02/2020,Cadem,12.00,83.00,-71.00,,
