id,fecha,id_región,región,comuna,provincia,n_votos1,p_1,n_votos2,p_2,n_blancosynulos,p_blancosynulos,n_emitidos
212,04/01/1978,10,De Los Lagos,La Unión,Valdivia,1955,11.65,14774,88.03,53,0.32,16782
213,04/01/1978,10,De Los Lagos,Rio Bueno,Valdivia,1249,7.99,13889,88.83,497,3.18,15635
214,04/01/1978,10,De Los Lagos,Mafil,Valdivia,228,6.50,3277,93.42,3,0.08,3508
215,04/01/1978,10,De Los Lagos,Lanco,Valdivia,1122,13.51,7016,84.50,165,1.99,8303
216,04/01/1978,10,De Los Lagos,Futrono,Valdivia,472,14.46,2775,84.99,18,0.55,3265
217,04/01/1978,10,De Los Lagos,Lago Ranco,Valdivia,741,12.25,4949,81.82,359,5.93,6049
218,04/01/1978,10,De Los Lagos,Corral,Valdivia,558,20.17,2099,75.86,110,3.97,2767
219,04/01/1978,10,De Los Lagos,Panguipulli,Valdivia,464,6.65,6293,90.21,219,3.14,6976
220,04/01/1978,10,De Los Lagos,San José Mariquina,Valdivia,847,10.96,6698,86.68,182,2.36,7727
221,04/01/1978,10,De Los Lagos,Osorno,Osorno,6806,11.69,51048,87.67,371,0.64,58225
222,04/01/1978,10,De Los Lagos,Rio Negro,Osorno,452,6.41,6596,93.53,4,0.06,7052
223,04/01/1978,10,De Los Lagos,Puerto Octay,Osorno,657,12.20,4706,87.37,23,0.43,5386
224,04/01/1978,10,De Los Lagos,San Pablo,Osorno,231,4.60,4792,95.40,,,5023
225,04/01/1978,10,De Los Lagos,Entre Lagos,Osorno,621,12.08,4510,87.73,10,0.19,5141
226,04/01/1978,10,De Los Lagos,Purranque,Osorno,773,8.03,8829,91.66,30,0.31,9632
227,04/01/1978,10,De Los Lagos,Puerto Montt,Puerto Montt,8552,16.93,38405,76.32,3396,6.75,50353
228,04/01/1978,10,De Los Lagos,Puerto Varas,Puerto Montt,1517,15.24,7482,75.16,956,9.60,9955
229,04/01/1978,10,De Los Lagos,Maullín,Puerto Montt,525,7.04,6618,88.77,312,4.19,7455
230,04/01/1978,10,De Los Lagos,Calbuco,Puerto Montt,1188,12.90,7536,81.84,484,5.26,9208
231,04/01/1978,10,De Los Lagos,Fresia,Puerto Montt,1095,12.99,7332,87.01,,,8427
232,04/01/1978,10,De Los Lagos,Frutillar,Puerto Montt,1109,17.94,4825,78.03,249,4.03,6183
233,04/01/1978,10,De Los Lagos,Llanquihue,Puerto Montt,941,17.14,3937,71.71,612,11.15,5490
234,04/01/1978,10,De Los Lagos,Los Muermos,Puerto Montt,457,9.87,3986,86.05,189,4.08,4632
235,04/01/1978,10,De Los Lagos,Ancud,Chiloé,1997,14.26,11379,81.27,626,0.47,14002
236,04/01/1978,10,De Los Lagos,Castro,Chiloé,1602,12.23,10680,81.55,815,6.22,13097
237,04/01/1978,10,De Los Lagos,Quemchi,Chiloé,383,12.51,2495,81.54,182,5.95,3060
238,04/01/1978,10,De Los Lagos,Chonchi,Chiloé,453,9.84,3857,83.79,293,6.37,4603
239,04/01/1978,10,De Los Lagos,Dalcahue,Chiloé,213,6.36,3138,93.64,,,3351
240,04/01/1978,10,De Los Lagos,Quellón,Chiloé,547,17.62,2491,80.23,67,2.15,3105
241,04/01/1978,10,De Los Lagos,Achao,Chiloé,740,16.10,3763,80.99,135,2.91,4638
242,04/01/1978,10,De Los Lagos,Chaitén,Chiloé,248,12.72,1640,84.10,62,3.10,1950
243,04/01/1978,10,De Los Lagos,Queilén,Chiloé,79,5.03,1489,94.78,3,0.19,1571
244,04/01/1978,10,De Los Lagos,Futaleufu,Chiloé,20,1.85,1061,98.15,,,1081
245,04/01/1978,10,De Los Lagos,Puqueldon,Chiloé,280,15.74,1247,70.10,252,14.16,1779
246,04/01/1978,10,De Los Lagos,Palena,Chiloé,121,10.40,851,73.11,192,16.49,1164
247,04/01/1978,10,De Los Lagos,Curacao de Velez,Chiloé,63,4.05,1259,81.02,232,14.93,1554
248,04/01/1978,11,Aisen Del Gral. Carlos Ibañez,Puerto Aisén,Aisén,1819,25.91,4644,66.13,559,7.96,7022
249,04/01/1978,11,Aisen Del Gral. Carlos Ibañez,Puerto Cisnes,Aisén,178,10.00,1524,85.67,77,4.33,1779
250,04/01/1978,11,Aisen Del Gral. Carlos Ibañez,Coihaique,Aisén,2460,14.46,14027,82.46,523,3.08,17010
251,04/01/1978,11,Aisen Del Gral. Carlos Ibañez,General Carrera,General Carrera,405,11.37,3001,84.27,155,4.36,3561
252,04/01/1978,11,Aisen Del Gral. Carlos Ibañez,Cochrane,Capitán Prat,106,8.95,1038,87.67,40,3.38,1184
253,04/01/1978,12,De Magallanes Y Antartica Ch.,Magallanes,Magallanes,9172,19.69,32362,69.46,5055,10.85,46589
254,04/01/1978,12,De Magallanes Y Antartica Ch.,Rio Verde,Magallanes,86,18.66,359,77.87,16,3.47,461
255,04/01/1978,12,De Magallanes Y Antartica Ch.,Marro Chico,Magallanes,77,25.08,192,62.54,38,12.38,307
256,04/01/1978,12,De Magallanes Y Antartica Ch.,San Gregorio,Magallanes,191,17.27,731,66.09,184,16.64,1106
257,04/01/1978,12,De Magallanes Y Antartica Ch.,Puerto Natales,Ultima Esperanza,1434,12.10,9816,82.79,606,5.11,11856
258,04/01/1978,12,De Magallanes Y Antartica Ch.,Cerro Castillo,Ultima Esperanza,41,7.47,460,83.79,48,8.74,549
259,04/01/1978,12,De Magallanes Y Antartica Ch.,Porvenir,Tierra del Fuego,366,14.55,1821,72.41,328,13.04,2515
260,04/01/1978,12,De Magallanes Y Antartica Ch.,Primavera,Tierra del Fuego,298,19.48,1058,69.15,174,11.37,1530
261,04/01/1978,12,De Magallanes Y Antartica Ch.,Bahía Inútil,Tierra del Fuego,216,23.15,597,63.99,120,12.86,933
262,04/01/1978,12,De Magallanes Y Antartica Ch.,Puerto Williams,Antartica,48,7.92,534,88.12,24,3.96,606
263,04/01/1978,13,Metropolitana,Santiago,Santiago,101342,25.20,277008,68.88,23783,5.92,402133
264,04/01/1978,13,Metropolitana,Quinta Normal,Santiago,25508,28.91,57240,64.87,5494,6.22,88242
265,04/01/1978,13,Metropolitana,Pudahuel,Santiago,28182,28.86,63309,64.83,6161,6.31,97652
266,04/01/1978,13,Metropolitana,Colina,Santiago,1469,11.98,10302,84.02,491,4.00,12262
267,04/01/1978,13,Metropolitana,Conchalí,Santiago,36872,27.34,89125,66.07,8891,6.59,134888
268,04/01/1978,13,Metropolitana,Renca,Santiago,15748,29.46,33608,62.88,4091,7.66,53447
269,04/01/1978,13,Metropolitana,Quilicura,Santiago,5861,26.88,14910,68.39,1030,4.73,21801
270,04/01/1978,13,Metropolitana,Lampa,Santiago,1660,21.85,5659,74.50,277,3.65,7596
271,04/01/1978,13,Metropolitana,Til Til,Santiago,1062,21.51,3608,73.07,268,5.42,4938
272,04/01/1978,13,Metropolitana,Providencia,Santiago,11673,16.37,56529,79.27,3109,4.36,71311
273,04/01/1978,13,Metropolitana,Las Condes,Santiago,23862,20.09,89401,75.28,5502,4.63,118765
274,04/01/1978,13,Metropolitana,La Reina,Santiago,10805,25.62,29441,69.80,1933,4.58,42179
275,04/01/1978,13,Metropolitana,La Florida,Santiago,16185,29.08,36944,66.38,2527,4.54,55656
276,04/01/1978,13,Metropolitana,Ñuñoa,Santiago,53639,26.62,136385,67.68,11480,5.70,201504
277,04/01/1978,13,Metropolitana,Talagante,Talagante,3279,19.10,13265,77.10,650,3.80,17194
278,04/01/1978,13,Metropolitana,Peñaflor,Talagante,5373,22.10,17954,74.00,934,3.90,24261
279,04/01/1978,13,Metropolitana,Isla de Maipo,Talagante,1296,17.90,5798,80.00,157,2.10,7251
280,04/01/1978,13,Metropolitana,Curacaví,Talagante,1588,20.50,5839,75.40,320,4.10,7747
281,04/01/1978,13,Metropolitana,Maipú,Talagante,27899,29.80,60140,64.20,5633,6.00,93672
282,04/01/1978,13,Metropolitana,San Miguel,Pedro Aguirre Cerca,47176,30.40,96621,62.10,11693,7.50,155490
283,04/01/1978,13,Metropolitana,La Cisterna,Pedro Aguirre Cerca,43957,29.80,95310,64.70,8098,5.50,147365
284,04/01/1978,13,Metropolitana,La Granja,Pedro Aguirre Cerca,27644,31.70,55928,64.00,3742,4.30,87314
285,04/01/1978,13,Metropolitana,Puente Alto,Puente Alto,16417,30.78,34111,63.96,2808,5.26,53336
286,04/01/1978,13,Metropolitana,Pirque,Puente Alto,855,14.95,4653,81.35,212,3.70,5720
287,04/01/1978,13,Metropolitana,San José de Maipo,Puente Alto,1330,22.20,4468,74.56,194,3.24,5992
288,04/01/1978,13,Metropolitana,San Bernardo,San Bernardo-Maipo,17868,25.69,48605,69.89,3072,4.42,69545
289,04/01/1978,13,Metropolitana,Calera de Tango,San Bernardo-Maipo,890,16.03,4462,80.38,199,3.59,5551
290,04/01/1978,13,Metropolitana,Buin ,San Bernardo-Maipo,3079,15.42,16412,82.20,475,2.38,19966
291,04/01/1978,13,Metropolitana,Paine,San Bernardo-Maipo,1726,12.76,11640,86.05,161,1.19,13527
292,04/01/1978,13,Metropolitana,El Monte,Melipilla,1361,14.48,7907,84.10,134,1.42,9402
293,04/01/1978,13,Metropolitana,María Pinto,Melipilla,704,18.33,3029,78.86,108,2.81,3841
294,04/01/1978,13,Metropolitana,Melipilla,Melipilla,5753,18.51,24187,77.80,1147,3.69,31087
